ID,Police Station,Destination,Address,Phone,Latitude,Longitude,District,Province
656,Police Station Bahrabise,Bahrabise,"Sindhupalchok, Nepal",,27.7900,85.8900,Sindhupalchok,Bagmati
657,Police Station Tatopani,Tatopani,"Sindhupalchok, Nepal",,27.9800,85.9500,Sindhupalchok,Bagmati
658,District Police Office Dolakha,Charikot,"Dolakha, Nepal",,27.6700,86.0500,Dolakha,Bagmati
659,Police Station Jiri,Jiri,"Dolakha, Nepal",,27.6300,86.2300,Dolakha,Bagmati
660,Police Station Singati,Singati,"Dolakha, Nepal",,27.7800,86.0300,Dolakha,Bagmati
661,Police Station Baiteshwor,Baiteshwor,"Dolakha, Nepal",,27.7000,86.1000,Dolakha,Bagmati
662,District Police Office Ramechhap,Manthali,"Ramechhap, Nepal",,27.3900,86.0600,Ramechhap,Bagmati
663,Police Station Ramechhap,Ramechhap,"Ramechhap, Nepal",,27.3300,86.0800,Ramechhap,Bagmati
664,Police Station Doramba,Doramba,"Ramechhap, Nepal",,27.4000,86.2500,Ramechhap,Bagmati
665,District Police Office Sindhuli,Sindhulimadhi,"Sindhuli, Nepal",,27.2500,85.9700,Sindhuli,Bagmati
666,Police Station Kamalamai,Kamalamai,"Sindhuli, Nepal",,27.2500,85.9700,Sindhuli,Bagmati
667,Police Station Khurkot,Khurkot,"Sindhuli, Nepal",,27.4000,86.0500,Sindhuli,Bagmati
668,Police Station Dudhauli,Dudhauli,"Sindhuli, Nepal",,26.9500,86.2000,Sindhuli,Bagmati
669,District Police Office Makwanpur,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
670,Police Station Hetauda,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
671,Police Station Bhimphedi,Bhimphedi,"Makwanpur, Nepal",,27.5500,85.1500,Makwanpur,Bagmati
672,Police Station Palung,Palung,"Makwanpur, Nepal",,27.6000,85.1500,Makwanpur,Bagmati
673,Police Station Manahari,Manahari,"Makwanpur, Nepal",,27.5500,84.9500,Makwanpur,Bagmati
674,District Police Office Chitwan,Bharatpur,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
675,Police Station Narayangarh,Narayangarh,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
676,Police Station Ratnanagar,Ratnanagar,"Chitwan, Nepal",,27.6200,84.5000,Chitwan,Bagmati
677,Police Station Khairahani,Khairahani,"Chitwan, Nepal",,27.5700,84.6500,Chitwan,Bagmati
678,Police Station Madi,Madi,"Chitwan, Nepal",,27.3500,84.3500,Chitwan,Bagmati
679,District Police Office Dhading,Dhadingbesi,"Dhading, Nepal",,27.8700,84.9200,Dhading,Bagmati
680,Police Station Gajuri,Gajuri,"Dhading, Nepal",,27.8200,84.8800,Dhading,Bagmati
681,Police Station Naubise,Naubise,"Dhading, Nepal",,27.7500,85.0800,Dhading,Bagmati
682,Police Station Benighat,Benighat,"Dhading, Nepal",,27.8000,84.8800,Dhading,Bagmati
683,District Police Office Gorkha,Gorkha,"Gorkha, Nepal",,28.0000,84.6330,Gorkha,Gandaki
684,Police Station Arughat,Arughat,"Gorkha, Nepal",,28.0400,84.8100,Gorkha,Gandaki
685,Police Station Palungtar,Palungtar,"Gorkha, Nepal",,28.0300,84.6200,Gorkha,Gandaki
686,Police Station Aarughat Rural,Aarughat,"Gorkha, Nepal",,28.0500,84.8000,Gorkha,Gandaki
687,District Police Office Lamjung,Besisahar,"Lamjung, Nepal",,28.2300,84.0100,Lamjung,Gandaki
688,Police Station Besisahar,Besisahar,"Lamjung, Nepal",,28.2300,84.0100,Lamjung,Gandaki
689,Police Station Sundarbazar,Sundarbazar,"Lamjung, Nepal",,28.1250,84.0200,Lamjung,Gandaki
690,Police Station Bhoteodar,Bhoteodar,"Lamjung, Nepal",,28.2000,84.1000,Lamjung,Gandaki
691,District Police Office Tanahun,Damauli,"Tanahun, Nepal",,27.9730,84.2400,Tanahun,Gandaki
692,Police Station Damauli,Damauli,"Tanahun, Nepal",,27.9730,84.2400,Tanahun,Gandaki
693,Police Station Dumre,Dumre,"Tanahun, Nepal",,28.1150,84.4000,Tanahun,Gandaki
694,Police Station Bhimad,Bhimad,"Tanahun, Nepal",,27.9500,84.0500,Tanahun,Gandaki
695,District Police Office Syangja,Syangja,"Syangja, Nepal",,28.0900,83.8700,Syangja,Gandaki
696,Police Station Waling,Waling,"Syangja, Nepal",,27.9800,83.7600,Syangja,Gandaki
697,Police Station Putalibazar,Putalibazar,"Syangja, Nepal",,28.1000,83.8700,Syangja,Gandaki
698,Police Station Chapakot,Chapakot,"Syangja, Nepal",,27.9800,83.7700,Syangja,Gandaki
699,District Police Office Parbat,Kushma,"Parbat, Nepal",,28.2200,83.6800,Parbat,Gandaki
7701,Police Station Modi,Modi,"Parbat, Nepal",,28.2500,83.7000,Parbat,Gandaki
702,District Police Office Baglung,Baglung,"Baglung, Nepal",,28.2700,83.5900,Baglung,Gandaki
703,Police Station Baglung Bazaar,Baglung Bazaar,"Baglung, Nepal",,28.2700,83.5900,Baglung,Gandaki
704,Police Station Galkot,Galkot,"Baglung, Nepal",,28.3500,83.4200,Baglung,Gandaki
705,Police Station Burtibang,Burtibang,"Baglung, Nepal",,28.3300,83.1300,Baglung,Gandaki
706,District Police Office Myagdi,Beni,"Myagdi, Nepal",,28.3500,83.5700,Myagdi,Gandaki
707,Police Station Beni,Beni,"Myagdi, Nepal",,28.3500,83.5700,Myagdi,Gandaki
708,Police Station Darbang,Darbang,"Myagdi, Nepal",,28.4500,83.5000,Myagdi,Gandaki
709,Police Station Tatopani,Tatopani,"Myagdi, Nepal",,28.5000,83.6500,Myagdi,Gandaki
710,District Police Office Mustang,Jomsom,"Mustang, Nepal",,28.7800,83.7200,Mustang,Gandaki
711,Police Station Jomsom,Jomsom,"Mustang, Nepal",,28.7800,83.7200,Mustang,Gandaki
712,Police Station Kagbeni,Kagbeni,"Mustang, Nepal",,28.8400,83.7800,Mustang,Gandaki
713,Police Station Marpha,Marpha,"Mustang, Nepal",,28.7500,83.6800,Mustang,Gandaki
714,Police Station Muktinath,Muktinath,"Mustang, Nepal",,28.8200,83.8700,Mustang,Gandaki
715,District Police Office Manang,Chame,"Manang, Nepal",,28.5500,84.2300,Manang,Gandaki
716,Police Station Chame,Chame,"Manang, Nepal",,28.5500,84.2300,Manang,Gandaki
717,Police Station Manang,Manang,"Manang, Nepal",,28.6700,84.0200,Manang,Gandaki
718,Police Station Pisang,Pisang,"Manang, Nepal",,28.6700,84.1800,Manang,Gandaki
719,District Police Office Nawalpur,Kawasoti,"Nawalpur, Nepal",,27.6500,84.1300,Nawalpur,Gandaki
720,Police Station Kawasoti,Kawasoti,"Nawalpur, Nepal",,27.6500,84.1300,Nawalpur,Gandaki
721,Police Station Gaindakot,Gaindakot,"Nawalpur, Nepal",,27.7000,84.4200,Nawalpur,Gandaki
722,Police Station Devchuli,Devchuli,"Nawalpur, Nepal",,27.7000,84.2500,Nawalpur,Gandaki
723,District Police Office Rupandehi,Bhairahawa,"Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
724,Police Station Siddharthanagar,Siddharthanagar,"Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
725,Police Station Butwal,Butwal,"Rupandehi, Nepal",,27.7000,83.4500,Rupandehi,Lumbini
726,Police Station Sainamaina,Sainamaina,"Rupandehi, Nepal",,27.7000,83.3300,Rupandehi,Lumbini
727,District Police Office Kapilvastu,Taulihawa,"Kapilvastu, Nepal",,27.5500,83.0500,Kapilvastu,Lumbini
728,Police Station Taulihawa,Taulihawa,"Kapilvastu, Nepal",,27.5500,83.0500,Kapilvastu,Lumbini
729,Police Station Krishnanagar,Krishnanagar,"Kapilvastu, Nepal",,27.4200,82.9200,Kapilvastu,Lumbini
730,District Police Office Palpa,Tansen,"Palpa, Nepal",,27.8700,83.5500,Palpa,Lumbini
731,Police Station Tansen,Tansen,"Palpa, Nepal",,27.8700,83.5500,Palpa,Lumbini
732,Police Station Rampur,Rampur,"Palpa, Nepal",,27.9200,83.9100,Palpa,Lumbini
733,District Police Office Gulmi,Tamghas,"Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
734,Police Station Tamghas,Tamghas,"Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
735,Police Station Resunga,Resunga,"Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
736,District Police Office Arghakhanchi,Sandhikharka,"Arghakhanchi, Nepal",,27.9500,83.1200,Arghakhanchi,Lumbini
737,Police Station Sandhikharka,Sandhikharka,"Arghakhanchi, Nepal",,27.9500,83.1200,Arghakhanchi,Lumbini
738,District Police Office Dang,Ghorahi,"Dang, Nepal",,28.0300,82.4800,Dang,Lumbini
739,Police Station Ghorahi,Ghorahi,"Dang, Nepal",,28.0300,82.4800,Dang,Lumbini
740,Police Station Tulsipur,Tulsipur,"Dang, Nepal",,28.1300,82.3000,Dang,Lumbini
741,District Police Office Banke,Nepalgunj,"Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
742,Police Station Nepalgunj,Nepalgunj,"Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
743,Police Station Kohalpur,Kohalpur,"Banke, Nepal",,28.2100,81.6800,Banke,Lumbini
744,District Police Office Bardiya,Gulariya,"Bardiya, Nepal",,28.2300,81.3400,Bardiya,Lumbini
745,Police Station Gulariya,Gulariya,"Bardiya, Nepal",,28.2300,81.3400,Bardiya,Lumbini
746,Police Station Rajapur,Rajapur,"Bardiya, Nepal",,28.8800,81.1000,Bardiya,Lumbini
747,District Police Office Kaski,Pokhara,"Kaski, Nepal",,28.2257,83.9893,Kaski,Gandaki
748,Police Station Lakeside,Lakeside,"Pokhara, Nepal",,28.2100,83.9600,Kaski,Gandaki
749,Police Station Baidam,Baidam,"Pokhara, Nepal",,28.2150,83.9560,Kaski,Gandaki
750,Police Station Lekhnath,Lekhnath,"Pokhara, Nepal",,28.1700,84.0550,Kaski,Gandaki
751,District Police Office Morang,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
752,Police Station Biratnagar,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
753,Police Station Rangeli,Rangeli,"Morang, Nepal",,26.4500,87.3000,Morang,Koshi
754,Police Station Urlabari,Urlabari,"Morang, Nepal",,26.5000,87.6300,Morang,Koshi
755,Police Station Belbari,Belbari,"Morang, Nepal",,26.6800,87.4300,Morang,Koshi
756,District Police Office Sunsari,Inaruwa,"Sunsari, Nepal",,26.6100,87.1400,Sunsari,Koshi
757,Police Station Inaruwa,Inaruwa,"Sunsari, Nepal",,26.6100,87.1400,Sunsari,Koshi
758,Police Station Itahari,Itahari,"Sunsari, Nepal",,26.6600,87.2700,Sunsari,Koshi
759,Police Station Dharan,Dharan,"Sunsari, Nepal",,26.8100,87.2800,Sunsari,Koshi
760,Police Station Duhabi,Duhabi,"Sunsari, Nepal",,26.6700,87.1500,Sunsari,Koshi
761,District Police Office Jhapa,Bhadrapur,"Jhapa, Nepal",,26.5400,88.0900,Jhapa,Koshi
762,Police Station Bhadrapur,Bhadrapur,"Jhapa, Nepal",,26.5400,88.0900,Jhapa,Koshi
763,Police Station Birtamode,Birtamode,"Jhapa, Nepal",,26.6400,88.0000,Jhapa,Koshi
764,Police Station Damak,Damak,"Jhapa, Nepal",,26.6600,87.7000,Jhapa,Koshi
765,Police Station Kakarbhitta,Kakarbhitta,"Jhapa, Nepal",,26.6400,88.1500,Jhapa,Koshi
766,District Police Office Ilam,Ilam,"Ilam, Nepal",,26.9100,87.9300,Ilam,Koshi
767,Police Station Ilam Bazaar,Ilam,"Ilam, Nepal",,26.9100,87.9300,Ilam,Koshi
768,Police Station Fikkal,Fikkal,"Ilam, Nepal",,26.8900,88.0800,Ilam,Koshi
769,District Police Office Panchthar,Phidim,"Panchthar, Nepal",,27.1500,87.7500,Panchthar,Koshi
770,Police Station Phidim,Phidim,"Panchthar, Nepal",,27.1500,87.7500,Panchthar,Koshi
771,District Police Office Taplejung,Phungling,"Taplejung, Nepal",,27.3500,87.6700,Taplejung,Koshi
772,Police Station Taplejung,Taplejung,"Taplejung, Nepal",,27.3500,87.6700,Taplejung,Koshi
773,District Police Office Dhankuta,Dhankuta,"Dhankuta, Nepal",,26.9800,87.3400,Dhankuta,Koshi
774,Police Station Dhankuta,Dhankuta,"Dhankuta, Nepal",,26.9800,87.3400,Dhankuta,Koshi
775,Police Station Hile,Hile,"Dhankuta, Nepal",,27.0100,87.3000,Dhankuta,Koshi
776,District Police Office Terhathum,Myanglung,"Terhathum, Nepal",,27.1300,87.5500,Terhathum,Koshi
777,Police Station Myanglung,Myanglung,"Terhathum, Nepal",,27.1300,87.5500,Terhathum,Koshi
778,Police Station Basantapur,Basantapur,"Terhathum, Nepal",,27.1200,87.4500,Terhathum,Koshi
779,District Police Office Sankhuwasabha,Khandbari,"Sankhuwasabha, Nepal",,27.3800,87.2000,Sankhuwasabha,Koshi
780,Police Station Khandbari,Khandbari,"Sankhuwasabha, Nepal",,27.3800,87.2000,Sankhuwasabha,Koshi
781,Police Station Tumlingtar,Tumlingtar,"Sankhuwasabha, Nepal",,27.3000,87.2000,Sankhuwasabha,Koshi
782,District Police Office Bhojpur,Bhojpur,"Bhojpur, Nepal",,27.1700,87.0500,Bhojpur,Koshi
783,Police Station Bhojpur,Bhojpur,"Bhojpur, Nepal",,27.1700,87.0500,Bhojpur,Koshi
784,Police Station Dingla,Dingla,"Bhojpur, Nepal",,27.2000,87.1000,Bhojpur,Koshi
785,District Police Office Khotang,Diktel,"Khotang, Nepal",,27.2100,86.7900,Khotang,Koshi
786,Police Station Diktel,Diktel,"Khotang, Nepal",,27.2100,86.7900,Khotang,Koshi
787,Police Station Halesi,Halesi,"Khotang, Nepal",,27.0500,86.7300,Khotang,Koshi
788,District Police Office Solukhumbu,Salleri,"Solukhumbu, Nepal",,27.7900,86.7200,Solukhumbu,Koshi
789,Police Station Salleri,Salleri,"Solukhumbu, Nepal",,27.7900,86.7200,Solukhumbu,Koshi
790,Police Station Lukla,Lukla,"Solukhumbu, Nepal",,27.6900,86.7300,Solukhumbu,Koshi
791,District Police Office Okhaldhunga,Okhaldhunga,"Okhaldhunga, Nepal",,27.3100,86.5000,Okhaldhunga,Koshi
792,Police Station Okhaldhunga,Okhaldhunga,"Okhaldhunga, Nepal",,27.3100,86.5000,Okhaldhunga,Koshi
793,District Police Office Udayapur,Gaighat,"Udayapur, Nepal",,26.8000,86.7000,Udayapur,Koshi
794,Police Station Gaighat,Gaighat,"Udayapur, Nepal",,26.8000,86.7000,Udayapur,Koshi
795,Police Station Katari,Katari,"Udayapur, Nepal",,26.0300,86.1700,Udayapur,Koshi
796,District Police Office Saptari,Rajbiraj,"Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
797,Police Station Rajbiraj,Rajbiraj,"Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
798,District Police Office Siraha,Siraha,"Siraha, Nepal",,26.6500,86.2000,Siraha,Madhesh
799,Police Station Lahan,Lahan,"Siraha, Nepal",,26.7200,86.4800,Siraha,Madhesh
800,Police Station Mirchaiya,Mirchaiya,"Siraha, Nepal",,26.7800,86.2500,Siraha,Madhesh
801,District Police Office Dhanusha,Janakpur,"Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
802,Police Station Janakpur,Janakpur,"Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
803,Police Station Dhalkebar,Dhalkebar,"Dhanusha, Nepal",,26.9000,85.9500,Dhanusha,Madhesh
804,Police Station Sabaila,Sabaila,"Dhanusha, Nepal",,26.8000,85.9000,Dhanusha,Madhesh
805,District Police Office Mahottari,Jaleshwar,"Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
806,Police Station Jaleshwar,Jaleshwar,"Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
807,Police Station Bardibas,Bardibas,"Mahottari, Nepal",,26.9900,85.9000,Mahottari,Madhesh
808,Police Station Gaushala,Gaushala,"Mahottari, Nepal",,26.9800,85.8500,Mahottari,Madhesh
809,District Police Office Sarlahi,Malangwa,"Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
810,Police Station Malangwa,Malangwa,"Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
811,Police Station Lalbandi,Lalbandi,"Sarlahi, Nepal",,27.0300,85.5500,Sarlahi,Madhesh
812,Police Station Haripur,Haripur,"Sarlahi, Nepal",,26.9500,85.5000,Sarlahi,Madhesh
813,District Police Office Rautahat,Gaur,"Rautahat, Nepal",,26.7700,85.2700,Rautahat,Madhesh
814,Police Station Gaur,Gaur,"Rautahat, Nepal",,26.7700,85.2700,Rautahat,Madhesh
815,Police Station Chandrapur,Chandrapur,"Rautahat, Nepal",,27.0000,85.4200,Rautahat,Madhesh
816,Police Station Garuda,Garuda,"Rautahat, Nepal",,26.9800,85.3300,Rautahat,Madhesh
817,District Police Office Bara,Kalaiya,"Bara, Nepal",,26.9900,84.8700,Bara,Madhesh
818,Police Station Kalaiya,Kalaiya,"Bara, Nepal",,26.9900,84.8700,Bara,Madhesh
819,Police Station Simara,Simara,"Bara, Nepal",,27.1600,84.9800,Bara,Madhesh
820,Police Station Nijgadh,Nijgadh,"Bara, Nepal",,27.2100,85.1500,Bara,Madhesh
821,District Police Office Parsa,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
822,Police Station Birgunj,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
823,Police Station Pokhariya,Pokhariya,"Parsa, Nepal",,27.0700,84.6700,Parsa,Madhesh
824,Police Station Parwanipur,Parwanipur,"Parsa, Nepal",,27.0300,84.9000,Parsa,Madhesh
825,District Police Office Chitwan,Bharatpur,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
826,Police Station Bharatpur,Bharatpur,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
827,Police Station Narayangarh,Narayangarh,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
828,Police Station Tandi,Tandi,"Chitwan, Nepal",,27.6200,84.5000,Chitwan,Bagmati
829,District Police Office Makwanpur,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
830,Police Station Hetauda,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
831,Police Station Bhimphedi,Bhimphedi,"Makwanpur, Nepal",,27.5500,85.1500,Makwanpur,Bagmati
832,Police Station Manahari,Manahari,"Makwanpur, Nepal",,27.5500,84.9500,Makwanpur,Bagmati
833,District Police Office Dhading,Dhadingbesi,"Dhading, Nepal",,27.8700,84.9200,Dhading,Bagmati
834,Police Station Dhadingbesi,Dhadingbesi,"Dhading, Nepal",,27.8700,84.9200,Dhading,Bagmati
835,Police Station Gajuri,Gajuri,"Dhading, Nepal",,27.8200,84.8800,Dhading,Bagmati
836,District Police Office Nuwakot,Bidur,"Nuwakot, Nepal",,27.9200,85.1600,Nuwakot,Bagmati
837,Police Station Bidur,Bidur,"Nuwakot, Nepal",,27.9200,85.1600,Nuwakot,Bagmati
838,Police Station Trishuli,Trishuli,"Nuwakot, Nepal",,27.9800,85.1700,Nuwakot,Bagmati
839,District Police Office Rasuwa,Dhunche,"Rasuwa, Nepal",,28.1100,85.3000,Rasuwa,Bagmati
840,Police Station Dhunche,Dhunche,"Rasuwa, Nepal",,28.1100,85.3000,Rasuwa,Bagmati
841,District Police Office Sindhupalchok,Chautara,"Sindhupalchok, Nepal",,27.7800,85.7100,Sindhupalchok,Bagmati
842,Police Station Chautara,Chautara,"Sindhupalchok, Nepal",,27.7800,85.7100,Sindhupalchok,Bagmati
843,Police Station Melamchi,Melamchi,"Sindhupalchok, Nepal",,27.8200,85.5800,Sindhupalchok,Bagmati
844,District Police Office Dolakha,Charikot,"Dolakha, Nepal",,27.6700,86.0500,Dolakha,Bagmati
845,Police Station Charikot,Charikot,"Dolakha, Nepal",,27.6700,86.0500,Dolakha,Bagmati
846,Police Station Jiri,Jiri,"Dolakha, Nepal",,27.6300,86.2300,Dolakha,Bagmati
847,District Police Office Ramechhap,Manthali,"Ramechhap, Nepal",,27.3900,86.0600,Ramechhap,Bagmati
848,Police Station Manthali,Manthali,"Ramechhap, Nepal",,27.3900,86.0600,Ramechhap,Bagmati
849,District Police Office Sindhuli,Sindhulimadhi,"Sindhuli, Nepal",,27.2500,85.9700,Sindhuli,Bagmati
850,Police Station Sindhulimadhi,Sindhulimadhi,"Sindhuli, Nepal",,27.2500,85.9700,Sindhuli,Bagmati
851,District Police Office Kavrepalanchok,Dhulikhel,"Kavre, Nepal",,27.6200,85.5400,Kavrepalanchok,Bagmati
852,Police Station Dhulikhel,Dhulikhel,"Kavre, Nepal",,27.6200,85.5400,Kavrepalanchok,Bagmati
853,Police Station Banepa,Banepa,"Kavre, Nepal",,27.6300,85.5200,Kavrepalanchok,Bagmati
854,Police Station Panauti,Panauti,"Kavre, Nepal",,27.5800,85.5100,Kavrepalanchok,Bagmati
855,District Police Office Kathmandu,Kathmandu,"Kathmandu, Nepal",,27.7172,85.3240,Kathmandu,Bagmati
856,Police Station Hanumandhoka,Hanumandhoka,"Kathmandu, Nepal",,27.7040,85.3060,Kathmandu,Bagmati
857,Police Station Thamel,Thamel,"Kathmandu, Nepal",,27.7150,85.3120,Kathmandu,Bagmati
858,Police Station Balaju,Balaju,"Kathmandu, Nepal",,27.7350,85.3000,Kathmandu,Bagmati
859,Police Station Kalimati,Kalimati,"Kathmandu, Nepal",,27.7000,85.3000,Kathmandu,Bagmati
860,Police Station Teku,Teku,"Kathmandu, Nepal",,27.6950,85.3060,Kathmandu,Bagmati
861,Police Station Chabahil,Chabahil,"Kathmandu, Nepal",,27.7180,85.3480,Kathmandu,Bagmati
862,Police Station Boudha,Boudha,"Kathmandu, Nepal",,27.7210,85.3620,Kathmandu,Bagmati
863,Police Station Koteshwor,Koteshwor,"Kathmandu, Nepal",,27.6780,85.3480,Kathmandu,Bagmati
864,Police Station Baneshwor,Baneshwor,"Kathmandu, Nepal",,27.6920,85.3420,Kathmandu,Bagmati
865,District Police Office Lalitpur,Lalitpur,"Lalitpur, Nepal",,27.6700,85.3150,Lalitpur,Bagmati
866,Police Station Lalitpur Metropolitan,Lalitpur,"Lalitpur, Nepal",,27.6700,85.3150,Lalitpur,Bagmati
867,Police Station Jawalakhel,Jawalakhel,"Lalitpur, Nepal",,27.6750,85.3150,Lalitpur,Bagmati
868,Police Station Lagankhel,Lagankhel,"Lalitpur, Nepal",,27.6700,85.3200,Lalitpur,Bagmati
869,District Police Office Bhaktapur,Bhaktapur,"Bhaktapur, Nepal",,27.6720,85.4290,Bhaktapur,Bagmati
870,Police Station Bhaktapur Durbar Square,Bhaktapur,"Bhaktapur, Nepal",,27.6710,85.4290,Bhaktapur,Bagmati
871,Police Station Thimi,Thimi,"Bhaktapur, Nepal",,27.6800,85.3870,Bhaktapur,Bagmati
872,District Police Office Kaski,Pokhara,"Kaski, Nepal",,28.2257,83.9893,Kaski,Gandaki
873,Police Station Pokhara Metropolitan,Pokhara,"Kaski, Nepal",,28.2257,83.9893,Kaski,Gandaki
874,Police Station Lakeside,Lakeside,"Kaski, Nepal",,28.2100,83.9600,Kaski,Gandaki
875,District Police Office Rupandehi,Bhairahawa,"Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
876,Police Station Bhairahawa,Bhairahawa,"Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
877,District Police Office Morang,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
878,Police Station Biratnagar Metropolitan,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
879,District Police Office Sunsari,Inaruwa,"Sunsari, Nepal",,26.6100,87.1400,Sunsari,Koshi
880,Police Station Dharan,Dharan,"Sunsari, Nepal",,26.8100,87.2800,Sunsari,Koshi
881,Police Station Itahari,Itahari,"Sunsari, Nepal",,26.6600,87.2700,Sunsari,Koshi
882,District Police Office Jhapa,Bhadrapur,"Jhapa, Nepal",,26.5400,88.0900,Jhapa,Koshi
883,Police Station Birtamode,Birtamode,"Jhapa, Nepal",,26.6400,88.0000,Jhapa,Koshi
884,Police Station Damak,Damak,"Jhapa, Nepal",,26.6600,87.7000,Jhapa,Koshi
885,District Police Office Ilam,Ilam,"Ilam, Nepal",,26.9100,87.9300,Ilam,Koshi
886,Police Station Fikkal,Fikkal,"Ilam, Nepal",,26.8900,88.0800,Ilam,Koshi
887,District Police Office Dhankuta,Dhankuta,"Dhankuta, Nepal",,26.9800,87.3400,Dhankuta,Koshi
888,Police Station Hile,Hile,"Dhankuta, Nepal",,27.0100,87.3000,Dhankuta,Koshi
889,District Police Office Bhojpur,Bhojpur,"Bhojpur, Nepal",,27.1700,87.0500,Bhojpur,Koshi
890,District Police Office Khotang,Diktel,"Khotang, Nepal",,27.2100,86.7900,Khotang,Koshi
891,District Police Office Solukhumbu,Salleri,"Solukhumbu, Nepal",,27.7900,86.7200,Solukhumbu,Koshi
892,Police Station Lukla,Lukla,"Solukhumbu, Nepal",,27.6900,86.7300,Solukhumbu,Koshi
893,District Police Office Udayapur,Gaighat,"Udayapur, Nepal",,26.8000,86.7000,Udayapur,Koshi
894,Police Station Katari,Katari,"Udayapur, Nepal",,26.0300,86.1700,Udayapur,Koshi
895,District Police Office Parsa,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
896,Police Station Birgunj,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
897,District Police Office Bara,Kalaiya,"Bara, Nepal",,26.9900,84.8700,Bara,Madhesh
898,Police Station Simara,Simara,"Bara, Nepal",,27.1600,84.9800,Bara,Madhesh
899,District Police Office Dhanusha,Janakpur,"Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
900,Police Station Janakpur,Janakpur,"Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
901,District Police Office Mahottari,Jaleshwar,"Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
902,Police Station Jaleshwar,Jaleshwar,"Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
903,District Police Office Sarlahi,Malangwa,"Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
904,Police Station Malangwa,Malangwa,"Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
905,District Police Office Rautahat,Gaur,"Rautahat, Nepal",,26.7700,85.2700,Rautahat,Madhesh
906,Police Station Gaur,Gaur,"Rautahat, Nepal",,26.7700,85.2700,Rautahat,Madhesh
907,District Police Office Siraha,Siraha,"Siraha, Nepal",,26.6500,86.2000,Siraha,Madhesh
908,Police Station Lahan,Lahan,"Siraha, Nepal",,26.7200,86.4800,Siraha,Madhesh
909,District Police Office Saptari,Rajbiraj,"Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
910,Police Station Rajbiraj,Rajbiraj,"Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
911,District Police Office Dang,Ghorahi,"Dang, Nepal",,28.0300,82.4800,Dang,Lumbini
912,Police Station Lamahi,Lamahi,"Dang, Nepal",,27.8500,82.5500,Dang,Lumbini
913,District Police Office Banke,Nepalgunj,"Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
914,Police Station Kohalpur,Kohalpur,"Banke, Nepal",,28.2100,81.6800,Banke,Lumbini
915,District Police Office Bardiya,Gulariya,"Bardiya, Nepal",,28.2300,81.3400,Bardiya,Lumbini
916,Police Station Thakurdwara,Thakurdwara,"Bardiya, Nepal",,28.5000,81.2000,Bardiya,Lumbini
