place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category,data_quality_score
Ringmo Village Dolpa,29.18,82.97,Dolpa,8.0,12.0,4.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Ringmo Village Route,29.21,82.95,Dolpa,8.0,13.0,4.0,1.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Saldang Himalayan Village,29.4,83.0,Dolpa,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Saldang Remote Trail,29.4,83.0,Dolpa,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Saldang Rural Trail,29.4,83.0,Dolpa,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Saldang Village,29.4,83.1,Dolpa,15.0,18.0,14.0,1.0,10.0,0,0,0,100.0,95.0,94.0,High,100.0
Shey Gompa,29.25,83.05,Dolpa,15.0,20.0,15.0,1.0,10.0,0,0,0,100.0,100.0,97.0,High,100.0
Shey Gompa Dolpa,29.35,82.95,Dolpa,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Shey Gompa Route,29.35,82.95,Dolpa,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Shey Gompa Rural Area,29.35,82.95,Dolpa,19.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Shey Phoksundo Lake,29.21,82.96,Dolpa,4.0,12.0,3.0,4.0,8.0,0,0,0,100.0,78.0,85.0,High,100.0
Shey Phoksundo National Park,29.4,83.0,Dolpa,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Shey Phoksundo Route,29.21,82.96,Dolpa,12.0,18.0,12.0,3.0,8.0,0,0,0,100.0,95.0,90.0,High,100.0
Shey Phoksundo Trail,29.25,83.05,Dolpa,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Shey Phoksundo Trek Route,29.21,82.95,Dolpa,8.0,17.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Shey Phoksundo Waterfall,29.2,82.95,Dolpa,7.0,15.0,8.0,3.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
Suli Gad Waterfall,29.15,82.9,Dolpa,10.0,15.0,6.0,3.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Tarakot Rural Route,29.05,82.25,Dolpa,7.0,12.0,4.0,3.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Tarakot Village Camp,29.05,82.25,Dolpa,7.0,12.0,3.0,5.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Tarap Monastery,29.32,82.95,Dolpa,8.0,17.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Tarap Valley,29.2,83.0,Dolpa,15.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Tarap Valley Trail,29.12,83.02,Dolpa,7.0,15.0,12.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Tichurong Valley Trail,29.15,82.85,Dolpa,12.0,16.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Tinje Rural Settlement,29.5,83.15,Dolpa,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Tinje Valley,29.5,83.15,Dolpa,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Tinje Village Camp,29.5,83.15,Dolpa,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Tripurakot Temple,29.05,82.95,Dolpa,3.0,5.0,0.0,3.0,5.0,0,0,0,90.0,55.0,65.0,Medium,100.0
Tripurakot Village Route,29.0,82.3,Dolpa,5.0,9.0,2.0,7.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Upper Dolpo Camp,29.4,83.1,Dolpa,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Upper Dolpo Trek,29.2,82.85,Dolpa,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Upper Dolpo Trek Route,29.3,83.0,Dolpa,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Yak Kharka Dolpo,29.35,83.05,Dolpa,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Dipayal Rural Route,29.27,80.95,Doti,3.0,5.0,0.0,10.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Dipayal Seti River Area,29.27,80.98,Doti,4.0,1.0,0.0,14.0,3.0,5,4,1,70.0,65.0,68.0,High,100.0
Dipayal Seti Riverside,29.25,80.95,Doti,3.0,6.0,0.0,15.0,5.0,50,40,15,20.0,40.0,45.0,Medium,100.0
Dipayal Silgadhi,29.27,80.95,Doti,2.0,3.0,0.0,5.0,4.0,40,30,10,15.0,30.0,35.0,Low,100.0
Dipayal View Point,29.26,80.95,Doti,2.0,3.0,0.0,10.0,4.0,60,50,20,10.0,35.0,38.0,Medium,100.0
Doti Badikedar Trail,29.15,80.85,Doti,5.0,9.0,2.0,8.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Doti Dipayal,29.26,80.94,Doti,2.0,5.0,0.0,5.0,5.0,15,10,3,55.0,55.0,55.0,Medium,100.0
Doti Khaptad Gateway,29.3,81.15,Doti,6.0,10.0,2.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Doti Khaptad Route,29.32,81.15,Doti,4.0,6.0,0.0,6.0,4.0,15,20,5,40.0,50.0,55.0,Medium,100.0
Doti Seti River Camp,29.25,80.95,Doti,3.0,6.0,0.0,15.0,5.0,50,40,15,20.0,40.0,45.0,Medium,100.0
Doti Silgadhi,29.26,80.94,Doti,2.0,4.0,0.0,5.0,5.0,20,15,5,35.0,40.0,38.0,Medium,100.0
Gadsera Village,29.1,80.9,Doti,4.0,8.0,2.0,4.0,7.0,5,4,1,70.0,70.0,70.0,High,100.0
Jorayal Rural Route,29.25,80.95,Doti,3.0,6.0,0.0,10.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Jorayal Valley,29.18,80.9,Doti,3.0,8.0,2.0,5.0,6.0,1,1,0,85.0,80.0,82.0,High,100.0
Jorayal Village Trail,29.3,80.9,Doti,5.0,8.0,0.0,8.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Khaptad Ashram,29.32,81.15,Doti,3.0,5.0,0.0,6.0,4.0,15,20,5,40.0,50.0,55.0,Medium,100.0
Khaptad Ashram Area,29.27,81.12,Doti,3.0,7.0,1.0,3.0,6.0,2,2,0,75.0,65.0,69.0,High,100.0
Khaptad Ashram Trail,29.25,81.15,Doti,5.0,10.0,3.0,4.0,7.0,5,5,2,70.0,75.0,78.0,High,100.0
Khaptad Entry Trail,29.3,81.0,Doti,7.0,12.0,3.0,5.0,8.0,10,8,3,65.0,70.0,72.0,High,100.0
Khaptad Lake,29.27,81.12,Doti,5.0,12.0,6.0,2.0,8.0,0,0,0,100.0,90.0,95.0,High,100.0
Khaptad National Park,29.3,81.1,Doti,6.0,8.0,2.0,5.0,6.0,5,5,2,65.0,70.0,72.0,High,100.0
Khaptad National Park Trail,29.25,81.1,Doti,6.0,13.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Khaptad Rural Meadow,29.3,81.0,Doti,8.0,12.0,4.0,4.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Khaptad Trek Route,29.25,81.1,Doti,6.0,13.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Khaptad West Trail,29.28,81.1,Doti,5.0,8.0,2.0,5.0,6.0,10,10,3,60.0,70.0,72.0,High,100.0
Purbichauki Village,29.2,80.85,Doti,4.0,7.0,0.0,8.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Seti River Canyon,29.2,81.0,Doti,5.0,2.0,0.0,15.0,3.0,5,4,1,80.0,75.0,78.0,High,100.0
Shaileshwari Temple,29.3,80.6,Doti,2.0,5.0,0.0,3.0,5.0,3,3,1,60.0,45.0,51.0,Medium,100.0
Silgadhi Bazaar,29.26,80.98,Doti,1.0,4.0,0.0,5.0,5.0,8,6,2,50.0,45.0,47.0,Medium,100.0
Silgadhi Doti,29.26,80.98,Doti,1.0,4.0,0.0,5.0,5.0,8,6,2,50.0,45.0,47.0,Medium,100.0
Silgadhi Heritage Route,29.27,80.97,Doti,2.0,5.0,0.0,6.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Silgadhi Rural Heritage,29.26,80.73,Doti,2.0,4.0,0.0,7.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Silgadhi Rural View,29.27,80.95,Doti,2.0,4.0,0.0,8.0,4.0,60,50,20,15.0,30.0,35.0,Low,100.0
Silgadhi Village Trail,29.26,80.73,Doti,2.0,4.0,0.0,7.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Aarughat Bazaar,28.05,84.82,Gorkha,3.0,5.0,0.0,12.0,5.0,8,6,2,65.0,70.0,68.0,High,100.0
Barpak Homestay Area,28.21,84.75,Gorkha,5.0,12.0,5.0,3.0,9.0,2,1,0,85.0,90.0,88.0,High,100.0
Barpak Mountain Village,28.21,84.75,Gorkha,9.0,14.0,5.0,3.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Barpak Rural Homestay,28.2,84.75,Gorkha,10.0,15.0,5.0,3.0,9.0,8,5,2,75.0,85.0,88.0,High,100.0
Barpak Rural Village,28.21,84.75,Gorkha,9.0,14.0,5.0,3.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Barpak Sulikot Route,28.2,84.75,Gorkha,9.0,14.0,5.0,3.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Barpak Trek,28.22,84.75,Gorkha,5.0,12.0,3.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Barpak View Hill,28.21,84.72,Gorkha,6.0,10.0,3.0,4.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Barpak Village,28.22,84.75,Gorkha,4.0,10.0,2.0,2.0,8.0,1,1,0,90.0,75.0,84.0,High,100.0
Bihi Village,28.62,84.85,Gorkha,9.0,14.0,7.0,2.0,8.0,0,0,0,100.0,80.0,82.0,High,100.0
Bihi Village Camp,28.62,84.72,Gorkha,17.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Bihi Village Route,28.62,84.72,Gorkha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Bimthang Rural Trail,28.67,84.45,Gorkha,13.0,17.0,10.0,0.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Bimthang Village,28.72,84.65,Gorkha,8.0,17.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Bimthang Village Trail,28.67,84.45,Gorkha,13.0,17.0,10.0,0.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Birendra Lake,28.65,84.62,Gorkha,4.0,10.0,7.0,2.0,7.0,0,0,0,100.0,85.0,91.0,High,100.0
Birendra Lake Manaslu,28.65,84.62,Gorkha,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,100.0,100.0,High,100.0
Birendra Tal,28.62,84.7,Gorkha,8.0,17.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Boudha Himal Area,28.7,84.9,Gorkha,7.0,16.0,12.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Boudha Himal Glacier,28.75,84.85,Gorkha,9.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Boudha Himal Route,28.5,84.7,Gorkha,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Chekampar Village,28.62,84.85,Gorkha,6.0,13.0,7.0,2.0,9.0,0,0,0,100.0,95.0,97.0,High,100.0
Chepe River Area,28.35,84.75,Gorkha,2.0,5.0,0.0,7.0,4.0,2,2,0,75.0,55.0,63.0,Medium,100.0
Chepe River Trail,28.0,84.5,Gorkha,5.0,8.0,0.0,5.0,6.0,15,10,3,45.0,55.0,60.0,Medium,100.0
Chhekampar,28.65,85.0,Gorkha,12.0,18.0,10.0,1.0,9.0,0,0,0,100.0,90.0,90.0,High,100.0
Chhekampar Rural Camp,28.57,84.62,Gorkha,15.0,19.0,12.0,0.0,10.0,0,0,0,100.0,95.0,96.0,High,100.0
Chhekampar Settlement,28.56,84.62,Gorkha,15.0,19.0,12.0,0.0,10.0,0,0,0,100.0,95.0,96.0,High,100.0
Chhekampar Valley,28.65,84.9,Gorkha,9.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Chhekampar Village,28.62,84.85,Gorkha,6.0,14.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Chhokangparo,28.57,85.0,Gorkha,8.0,16.0,13.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Chhorten Dhara Route,28.6,84.85,Gorkha,12.0,16.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Chum Valley,28.6,84.9,Gorkha,5.0,12.0,5.0,3.0,8.0,0,0,0,100.0,88.0,94.0,High,100.0
Chum Valley Route,28.58,85.05,Gorkha,7.0,15.0,11.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Chumchet Village,28.57,84.62,Gorkha,13.0,17.0,10.0,0.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Chumling Village,28.6,85.0,Gorkha,8.0,17.0,14.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Chumling Village Trail,28.55,84.62,Gorkha,9.0,14.0,5.0,2.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Chumnubri Valley,28.65,84.8,Gorkha,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Deng Rural Camp,28.6,84.6,Gorkha,10.0,15.0,6.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Deng Village,28.6,84.75,Gorkha,6.0,14.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Dharapani Manaslu Route,28.65,84.75,Gorkha,10.0,15.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Dharmasala Manaslu,28.75,84.55,Gorkha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Dharmasala Manaslu Camp,28.72,84.65,Gorkha,14.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Dharmasala Rural Area,28.72,84.65,Gorkha,14.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Ghyachok Village,28.3,84.65,Gorkha,5.0,9.0,2.0,5.0,6.0,15,10,3,60.0,65.0,68.0,High,100.0
Gorkha Bazaar,28.0,84.63,Gorkha,1.0,3.0,0.0,5.0,6.0,25,20,5,25.0,30.0,28.0,Low,100.0
Gorkha Durbar,28.0,84.63,Gorkha,1.0,2.0,0.0,2.0,6.0,5,5,1,35.0,30.0,32.0,Medium,100.0
Gorkha Durbar Hill,28.0,84.63,Gorkha,1.0,3.0,0.0,5.0,6.0,70,60,20,5.0,25.0,30.0,Low,100.0
Gorkha Durbar Rural Path,28.0,84.63,Gorkha,2.0,3.0,0.0,5.0,3.0,90,80,30,0.0,10.0,15.0,Low,100.0
Gorkha Laprak Ridge,28.25,84.7,Gorkha,12.0,16.0,8.0,2.0,9.0,5,5,2,85.0,90.0,92.0,High,100.0
Gorkha Manakamana Cable Area,27.95,84.58,Gorkha,2.0,5.0,0.0,5.0,6.0,10,8,2,50.0,45.0,47.0,Medium,100.0
Gorkha Palace,28.0,84.63,Gorkha,2.0,2.0,0.0,4.0,8.0,50,40,10,15.0,40.0,42.0,Medium,100.0
Jagat Manaslu,28.55,84.7,Gorkha,10.0,15.0,8.0,2.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Jagat Rural Route,28.52,84.7,Gorkha,6.0,10.0,3.0,4.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Jagat Village,28.52,84.65,Gorkha,7.0,10.0,5.0,3.0,7.0,5,5,2,70.0,70.0,72.0,High,100.0
Jagat Village Manaslu,28.52,84.6,Gorkha,5.0,12.0,5.0,3.0,8.0,0,0,0,90.0,85.0,87.0,High,100.0
Jagat Village Route,28.52,84.7,Gorkha,6.0,10.0,3.0,4.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Kahule Village,28.18,84.62,Gorkha,3.0,8.0,2.0,3.0,6.0,1,1,0,90.0,65.0,75.0,High,100.0
Kerauja Village,28.3,84.75,Gorkha,8.0,13.0,5.0,3.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Khorla Rural Viewpoint,28.48,84.78,Gorkha,6.0,10.0,3.0,6.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Khorlabesi Rural Route,28.5,84.75,Gorkha,5.0,9.0,2.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Khorlabesi Trail,28.5,84.75,Gorkha,5.0,9.0,2.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Kro Village Trail,28.58,84.68,Gorkha,14.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Laprak Homestay Area,28.28,84.77,Gorkha,4.0,10.0,3.0,2.0,7.0,0,1,0,95.0,75.0,83.0,High,100.0
Laprak Rural Trail,28.23,84.7,Gorkha,11.0,15.0,7.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Laprak View Point,28.28,84.77,Gorkha,4.0,10.0,3.0,3.0,7.0,0,1,0,90.0,80.0,84.0,High,100.0
Laprak Village,28.28,84.77,Gorkha,3.0,8.0,3.0,2.0,6.0,0,1,0,95.0,70.0,82.0,High,100.0
Laprak Village Trail,28.25,84.7,Gorkha,12.0,16.0,8.0,2.0,9.0,5,5,2,85.0,90.0,92.0,High,100.0
Lapulek Rural Camp,28.25,84.8,Gorkha,10.0,15.0,6.0,2.0,9.0,0,0,0,100.0,85.0,88.0,High,100.0
Larke Pass,28.75,84.6,Gorkha,10.0,18.0,15.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Larke Pass Route,28.75,84.6,Gorkha,10.0,18.0,15.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Larke Village,28.65,84.6,Gorkha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Larkya Pass,28.7,84.55,Gorkha,10.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Larpak Community Route,28.26,84.72,Gorkha,8.0,13.0,5.0,3.0,8.0,10,8,3,70.0,80.0,82.0,High,100.0
Larpak Trek Route,28.25,84.72,Gorkha,10.0,15.0,8.0,2.0,10.0,0,0,0,100.0,85.0,88.0,High,100.0
Larpak Viewpoint,28.25,84.65,Gorkha,5.0,12.0,5.0,3.0,8.0,0,0,0,90.0,85.0,87.0,High,100.0
Lho Community Village,28.65,84.6,Gorkha,8.0,12.0,4.0,1.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Lho Village,28.65,84.6,Gorkha,12.0,16.0,10.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Lho Village Trail,28.65,84.6,Gorkha,8.0,12.0,5.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Ligligkot,28.05,84.57,Gorkha,3.0,5.0,0.0,4.0,6.0,20,20,5,30.0,45.0,50.0,Medium,100.0
Ligligkot Heritage Trail,27.97,84.7,Gorkha,4.0,7.0,0.0,5.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Ligligkot Hill,27.98,84.65,Gorkha,2.0,5.0,0.0,2.0,5.0,4,4,1,55.0,40.0,46.0,Medium,100.0
Ligligkot Rural Trail,27.97,84.7,Gorkha,4.0,7.0,0.0,5.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Ligligkot Trail,27.95,84.6,Gorkha,3.0,6.0,0.0,5.0,5.0,30,25,10,35.0,45.0,50.0,Medium,100.0
Lokpa Rural Settlement,28.53,84.6,Gorkha,8.0,13.0,4.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Lokpa Village,28.7,84.9,Gorkha,8.0,17.0,14.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Lokpa Village Route,28.53,84.6,Gorkha,12.0,16.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Machha Khola,28.6,84.75,Gorkha,7.0,15.0,12.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Machha Khola Village,28.53,84.7,Gorkha,7.0,12.0,3.0,8.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Manakamana Cable Car,27.95,84.58,Gorkha,1.0,2.0,0.0,3.0,5.0,20,15,5,15.0,20.0,17.0,Low,100.0
Manakamana Cable Station,27.95,84.62,Gorkha,3.0,2.0,0.0,5.0,7.0,30,25,8,35.0,40.0,38.0,Medium,100.0
Manakamana Rural Cable Route,27.95,84.85,Gorkha,3.0,5.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Manakamana Rural Route,27.95,84.85,Gorkha,3.0,5.0,0.0,6.0,4.0,70,60,20,5.0,20.0,25.0,Low,100.0
Manakamana Temple,27.95,84.58,Gorkha,2.0,4.0,0.0,4.0,5.0,8,6,2,35.0,40.0,38.0,Medium,100.0
Manaslu Base Camp,28.65,84.56,Gorkha,9.0,17.0,13.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Manaslu Border Trail,28.25,84.9,Gorkha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Manaslu Circuit,28.65,84.56,Gorkha,10.0,12.0,10.0,2.0,9.0,0,1,0,90.0,95.0,88.0,High,100.0
Manaslu Circuit Lower Trail,28.5,84.7,Gorkha,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Manaslu Circuit North,28.65,84.7,Gorkha,10.0,18.0,17.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Manaslu Circuit Rural Camp,28.6,84.6,Gorkha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Manaslu Conservation Area,28.65,84.7,Gorkha,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Manaslu Glacier,28.65,84.5,Gorkha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Manaslu Rural Route,28.65,84.65,Gorkha,15.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Mu Gompa,28.65,85.05,Gorkha,12.0,18.0,10.0,1.0,9.0,0,0,0,100.0,90.0,90.0,High,100.0
Mu Gompa Trail,28.68,84.95,Gorkha,8.0,16.0,12.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Mu Gompa Tsum,28.7,85.0,Gorkha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Namrung Village,28.62,84.62,Gorkha,9.0,14.0,5.0,2.0,8.0,5,5,2,75.0,80.0,85.0,High,100.0
Namrung Village Trail,28.62,84.62,Gorkha,9.0,14.0,5.0,2.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Nile Village Camp,28.62,84.72,Gorkha,15.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Nubri Valley,28.65,84.75,Gorkha,15.0,20.0,12.0,2.0,10.0,0,0,0,100.0,95.0,92.0,High,100.0
Nubri Valley Settlement,28.6,84.65,Gorkha,15.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Philim Village,28.58,84.82,Gorkha,5.0,12.0,7.0,2.0,8.0,1,1,0,95.0,90.0,93.0,High,100.0
Prok Rural Route,28.63,84.7,Gorkha,8.0,13.0,4.0,2.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Prok Rural Settlement,28.58,84.7,Gorkha,11.0,15.0,7.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Prok Village,28.58,84.9,Gorkha,10.0,15.0,8.0,2.0,9.0,0,0,0,100.0,85.0,86.0,High,100.0
Prok Village Camp,28.58,84.7,Gorkha,11.0,15.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Pungyen Gompa,28.65,84.6,Gorkha,6.0,13.0,9.0,1.0,8.0,0,0,0,100.0,95.0,98.0,High,100.0
Rubina La Pass,28.65,84.8,Gorkha,8.0,15.0,12.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Rubina La Rural Camp,28.65,84.5,Gorkha,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Sama Gaun Rural Route,28.61,84.63,Gorkha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Sama Gaun Trek Route,28.6,84.65,Gorkha,6.0,14.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Samagaun,28.6,84.65,Gorkha,5.0,12.0,8.0,2.0,8.0,0,0,0,100.0,90.0,96.0,High,100.0
Samagaun Manaslu,28.65,84.63,Gorkha,18.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Samagaun Rural Camp,28.61,84.63,Gorkha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Samagaun Village,28.65,84.57,Gorkha,15.0,18.0,12.0,1.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Samdo Village,28.7,84.6,Gorkha,9.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Samdo Village Route,28.7,84.62,Gorkha,17.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Saurpani Rural Route,28.2,84.65,Gorkha,3.0,7.0,0.0,6.0,5.0,25,20,5,45.0,55.0,60.0,Medium,100.0
Shyala Village,28.68,84.57,Gorkha,10.0,15.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Siranchok Rural View,28.05,84.65,Gorkha,5.0,8.0,0.0,8.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Sirandanda Gorkha,28.15,84.6,Gorkha,4.0,7.0,2.0,3.0,7.0,10,10,3,55.0,60.0,65.0,Medium,100.0
Sirandanda Viewpoint,28.15,84.55,Gorkha,4.0,9.0,2.0,3.0,7.0,3,2,1,70.0,70.0,70.0,High,100.0
Sirdibas Village Trail,28.52,84.65,Gorkha,9.0,14.0,6.0,2.0,8.0,5,5,2,75.0,80.0,85.0,High,100.0
Soti Khola,28.55,84.8,Gorkha,7.0,14.0,10.0,3.0,8.0,0,0,0,100.0,95.0,98.0,High,100.0
Soti Khola Trail,28.55,84.75,Gorkha,8.0,12.0,5.0,5.0,7.0,5,5,2,70.0,75.0,78.0,High,100.0
Tatopani Manaslu Area,28.48,84.78,Gorkha,3.0,6.0,0.0,12.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Trishuli River Gorkha,28.0,84.8,Gorkha,6.0,2.0,0.0,15.0,4.0,3,3,1,80.0,75.0,78.0,High,100.0
Tsum Nubri Border,28.7,84.8,Gorkha,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
