Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Kapilvastu District Hospital,Taulihawa,+977-076-560123,27.5500,83.0500,Kapilvastu,Taulihawa,Lumbini
Crimson Hospital,Manigram Rupandehi,+977-071-520111,27.6500,83.4700,Rupandehi,Manigram,Lumbini
Devdaha Medical College Hospital,Devdaha Rupandehi,+977-071-577777,27.6500,83.5600,Rupandehi,Devdaha,Lumbini
Nepalgunj Medical College Hospital,Kohalpur Banke,+977-081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Rapti Academy of Health Sciences,Ghorahi Dang,+977-082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Rapti Provincial Hospital,Tulsipur Dang,+977-082-560123,28.1300,82.3000,Dang,Tulsipur,Lumbini
Bardiya District Hospital,Gulariya,+977-084-420123,28.2300,81.3400,Bardiya,Gulariya,Lumbini
Seti Provincial Hospital,Dhangadhi,+977-091-520123,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Mahakali Provincial Hospital,Mahendranagar,+977-099-521123,28.9600,80.1800,Kanchanpur,Mahendranagar,Sudurpashchim
Dadeldhura Hospital,Dadeldhura,+977-096-420123,29.3000,80.5800,Dadeldhura,Dadeldhura,Sudurpashchim
Surkhet Provincial Hospital,Birendranagar,+977-083-520123,28.6000,81.6300,Surkhet,Birendranagar,Karnali
Karnali Academy of Health Sciences,Jumla,+977-087-520123,29.2700,82.1800,Jumla,Jumla,Karnali
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Nepal Korea Friendship Municipality Hospital,Madhyapur Thimi Bhaktapur,+977-01-6635111,27.6800,85.3900,Bhaktapur,Thimi,Bagmati
Siddhi Memorial Hospital,Bhaktapur,+977-01-6610798,27.6750,85.4300,Bhaktapur,Bhaktapur,Bagmati
Khwopa Hospital,Bhaktapur,+977-01-6618998,27.6750,85.4300,Bhaktapur,Bhaktapur,Bagmati
Bhaktapur International Hospital,Bhaktapur,+977-01-6617070,27.6750,85.4300,Bhaktapur,Bhaktapur,Bagmati
Kathmandu Cancer Center,Bhaktapur,+977-01-6633444,27.6800,85.4300,Bhaktapur,Bhaktapur,Bagmati
Apex Hospital,Jorpati Kathmandu,+977-01-4912500,27.7300,85.3700,Kathmandu,Jorpati,Bagmati
Shankarapur Hospital,Jorpati Kathmandu,+977-01-4911000,27.7300,85.3700,Kathmandu,Jorpati,Bagmati
Green City Hospital,Basundhara Kathmandu,+977-01-4387788,27.7350,85.3400,Kathmandu,Basundhara,Bagmati
Helping Hands Community Hospital,Chabahil Kathmandu,+977-01-4480071,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Kirtipur Hospital,Kirtipur Kathmandu,+977-01-4339130,27.6700,85.2800,Kathmandu,Kirtipur,Bagmati
Janamaitri Hospital,Balkhu Kathmandu,+977-01-4288888,27.6850,85.3000,Kathmandu,Balkhu,Bagmati
Sumeru Hospital,Dhume Barahi Kathmandu,+977-01-4377700,27.7350,85.3400,Kathmandu,Dhumbarahi,Bagmati
Venus Hospital,Chabahil Kathmandu,+977-01-4475120,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Om Hospital Research Center,Chabahil Kathmandu,+977-01-4476225,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
HAMS Hospital,Dhumbarahi Kathmandu,+977-01-4377404,27.7350,85.3400,Kathmandu,Dhumbarahi,Bagmati
Nepal Mediciti Hospital,Bhaisepati Lalitpur,+977-01-4217766,27.6500,85.3000,Lalitpur,Bhaisepati,Bagmati
Swacon International Hospital,Bhaisepati Lalitpur,+977-01-5591919,27.6500,85.3000,Lalitpur,Bhaisepati,Bagmati
Vatsalya Hospital,Nakhu Lalitpur,+977-01-5599555,27.6650,85.3100,Lalitpur,Nakhu,Bagmati
Sumeru Hospital,Dhapa Khel Lalitpur,+977-01-5152515,27.6500,85.3000,Lalitpur,Dhapakhel,Bagmati
B&B Hospital,Gwarko Lalitpur,+977-01-5533206,27.6650,85.3300,Lalitpur,Gwarko,Bagmati
Alka Hospital,Jawalakhel Lalitpur,+977-01-5970999,27.6750,85.3150,Lalitpur,Jawalakhel,Bagmati
KIST Hospital,Imadol Lalitpur,+977-01-5201496,27.6500,85.3500,Lalitpur,Imadol,Bagmati
Nepal Cancer Hospital,Harisiddhi Lalitpur,+977-01-5971532,27.6300,85.3500,Lalitpur,Harisiddhi,Bagmati
Star Hospital,Sanepa Lalitpur,+977-01-5420777,27.6850,85.3050,Lalitpur,Sanepa,Bagmati
Patan Hospital,Lagankhel Lalitpur,+977-01-5522278,27.6700,85.3200,Lalitpur,Lagankhel,Bagmati
Nidan Hospital,Pulchowk Lalitpur,+977-01-5443200,27.6800,85.3150,Lalitpur,Pulchowk,Bagmati
Asian College for Advanced Studies Hospital,Gwarko Lalitpur,+977-01-5201300,27.6650,85.3300,Lalitpur,Gwarko,Bagmati
Kathmandu Medical College Hospital,Sinamangal Kathmandu,+977-01-4469064,27.6950,85.3500,Kathmandu,Sinamangal,Bagmati
Nepal International Clinic,Lazimpat Kathmandu,+977-01-4424642,27.7200,85.3300,Kathmandu,Lazimpat,Bagmati
CIWEC Hospital Travel Medicine Center,Lainchaur Kathmandu,+977-01-4435232,27.7200,85.3200,Kathmandu,Lainchaur,Bagmati
Grande International Hospital,Dhapasi Kathmandu,+977-01-5159266,27.7500,85.3300,Kathmandu,Dhapasi,Bagmati
Shahid Dharmabhakta National Transplant Center,Bhaktapur,+977-01-6630765,27.6800,85.4300,Bhaktapur,Bhaktapur,Bagmati
Kanti Children Hospital,Maharajgunj Kathmandu,+977-01-4411558,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
National Trauma Center,Kathmandu,+977-01-4230710,27.7050,85.3150,Kathmandu,Kathmandu,Bagmati
Nepal Eye Hospital,Tripureshwor Kathmandu,+977-01-4260813,27.7000,85.3100,Kathmandu,Tripureshwor,Bagmati
Tilganga Eye Center,Gausala Kathmandu,+977-01-4493684,27.7100,85.3500,Kathmandu,Gausala,Bagmati
Shahid Gangalal National Heart Centre,Bansbari Kathmandu,+977-01-4371322,27.7500,85.3400,Kathmandu,Bansbari,Bagmati
Nepal Police Hospital,Maharajgunj Kathmandu,+977-01-4412430,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Nepal Army Hospital,Chhauni Kathmandu,+977-01-4271941,27.7000,85.2900,Kathmandu,Chhauni,Bagmati
Bir Hospital,Kathmandu,+977-01-4221119,27.7050,85.3150,Kathmandu,Kathmandu,Bagmati
Tribhuvan University Teaching Hospital,Maharajgunj Kathmandu,+977-01-4412303,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Civil Service Hospital,Minbhawan Kathmandu,+977-01-4793000,27.6900,85.3400,Kathmandu,Minbhawan,Bagmati
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Bharatpur Eye Hospital,Bharatpur Chitwan,+977-056-520123,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
Chitwan Hospital,Bharatpur Chitwan,+977-056-532000,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
Narayani Community Hospital,Bharatpur Chitwan,+977-056-533333,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
Sanjivani Hospital,Bharatpur Chitwan,+977-056-595555,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
CMC Hospital Emergency,Bharatpur Chitwan,+977-056-493403,27.6700,84.4400,Chitwan,Bharatpur,Bagmati
College of Medical Sciences Teaching Hospital,Bharatpur Chitwan,+977-056-534111,27.6700,84.4400,Chitwan,Bharatpur,Bagmati
Hetauda Community Eye Hospital,Hetauda Makwanpur,+977-057-524777,27.4300,85.0300,Makwanpur,Hetauda,Bagmati
Makwanpur Cooperative Hospital,Hetauda,+977-057-520456,27.4300,85.0300,Makwanpur,Hetauda,Bagmati
Chure Hill Hospital,Hetauda,+977-057-520777,27.4300,85.0300,Makwanpur,Hetauda,Bagmati
Sindhuli Hospital,Sindhulimadhi,+977-047-520123,27.2500,85.9700,Sindhuli,Sindhulimadhi,Bagmati
Janasewa Hospital,Sindhuli,+977-047-520456,27.2500,85.9700,Sindhuli,Sindhulimadhi,Bagmati
Nuwakot Hospital,Bidur,+977-010-560123,27.9200,85.1600,Nuwakot,Bidur,Bagmati
Trishuli Hospital,Nuwakot,+977-010-560123,27.9000,85.1600,Nuwakot,Trishuli,Bagmati
Dhading Hospital,Dhadingbesi,+977-010-520123,27.8700,84.9200,Dhading,Dhadingbesi,Bagmati
Gajuri Hospital,Dhading,+977-010-520456,27.7800,84.8700,Dhading,Gajuri,Bagmati
Rasuwa Hospital,Dhunche,+977-010-540123,28.1100,85.3000,Rasuwa,Dhunche,Bagmati
Charikot Hospital,Dolakha,+977-049-420123,27.6700,86.0300,Dolakha,Charikot,Bagmati
Jiri Hospital,Dolakha,+977-049-430123,27.6300,86.2300,Dolakha,Jiri,Bagmati
Manthali Hospital,Ramechhap,+977-048-540123,27.3900,86.0600,Ramechhap,Manthali,Bagmati
Kavre District Hospital,Dhulikhel,+977-011-490497,27.6200,85.5400,Kavrepalanchok,Dhulikhel,Bagmati
Sheer Memorial Hospital,Banepa,+977-011-665015,27.6300,85.5200,Kavrepalanchok,Banepa,Bagmati
Beni Hospital,Myagdi,+977-069-520102,28.3500,83.5700,Myagdi,Beni,Gandaki
Baglung Hospital,Baglung,+977-068-520102,28.2700,83.5900,Baglung,Baglung,Gandaki
Parbat Hospital,Kushma,+977-067-420102,28.2200,83.6800,Parbat,Kushma,Gandaki
Syangja Hospital,Syangja,+977-063-420102,28.0000,83.8700,Syangja,Syangja,Gandaki
Damauli Hospital,Tanahun,+977-065-560102,27.9730,84.2400,Tanahun,Damauli,Gandaki
Gorkha Hospital,Gorkha Bazaar,+977-064-420123,28.0000,84.6330,Gorkha,Gorkha,Gandaki
Mustang Hospital,Jomsom,+977-069-440123,28.7800,83.7200,Mustang,Jomsom,Gandaki
Manang Hospital,Chame,+977-066-440123,28.5500,84.2300,Manang,Chame,Gandaki
Pokhara Eye Hospital,Pokhara,+977-061-462000,28.2100,83.9800,Kaski,Pokhara,Gandaki
Charak Memorial Hospital,Pokhara,+977-061-537055,28.2200,83.9800,Kaski,Pokhara,Gandaki
Metrocity Hospital,Pokhara,+977-061-538595,28.2200,83.9900,Kaski,Pokhara,Gandaki
Western Regional Hospital,Pokhara,+977-061-520067,28.2100,83.9800,Kaski,Pokhara,Gandaki
Tansen Mission Hospital,Palpa,+977-075-520123,27.8700,83.5500,Palpa,Tansen,Lumbini
Palpa District Hospital,Tansen,+977-075-520102,27.8700,83.5500,Palpa,Tansen,Lumbini
Gulmi Hospital,Tamghas,+977-079-520123,28.0800,83.2500,Gulmi,Tamghas,Lumbini
Arghakhanchi Hospital,Sandhikharka,+977-077-420123,27.9500,83.1200,Arghakhanchi,Sandhikharka,Lumbini
Kapilvastu Hospital,Taulihawa,+977-076-560123,27.5500,83.0500,Kapilvastu,Taulihawa,Lumbini
Crimson Hospital,Manigram,+977-071-520111,27.6500,83.4700,Rupandehi,Manigram,Lumbini
Devdaha Medical College Hospital,Devdaha,+977-071-577777,27.6500,83.5600,Rupandehi,Devdaha,Lumbini
Bheri Hospital,Nepalgunj,+977-081-520123,28.0500,81.6200,Banke,Nepalgunj,Lumbini
Kohalpur Medical College Hospital,Kohalpur,+977-081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Bardiya Hospital,Gulariya,+977-084-420123,28.2300,81.3400,Bardiya,Gulariya,Lumbini
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Seti Provincial Hospital,Dhangadhi Kailali,+977-091-520123,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Tikapur Hospital,Tikapur Kailali,+977-091-560123,28.5200,81.1200,Kailali,Tikapur,Sudurpashchim
Malakheti Hospital,Attariya Kailali,+977-091-550123,28.7700,80.6000,Kailali,Attariya,Sudurpashchim
Mahakali Provincial Hospital,Mahendranagar Kanchanpur,+977-099-521123,28.9600,80.1800,Kanchanpur,Mahendranagar,Sudurpashchim
Dadeldhura Hospital,Dadeldhura,+977-096-420123,29.3000,80.5800,Dadeldhura,Dadeldhura,Sudurpashchim
Baitadi Hospital,Dasharathchand,+977-095-520123,29.5200,80.4300,Baitadi,Dasharathchand,Sudurpashchim
Darchula Hospital,Khalanga Darchula,+977-093-520123,29.8500,80.5500,Darchula,Khalanga,Sudurpashchim
Bajhang District Hospital,Chainpur,+977-092-420123,29.5500,81.1800,Bajhang,Chainpur,Sudurpashchim
Bajura District Hospital,Martadi,+977-097-420123,29.4200,81.4200,Bajura,Martadi,Sudurpashchim
Achham District Hospital,Mangalsen,+977-097-620123,29.1300,81.2500,Achham,Mangalsen,Sudurpashchim
Surkhet Provincial Hospital,Birendranagar,+977-083-520123,28.6000,81.6300,Surkhet,Birendranagar,Karnali
Karnali Academy of Health Sciences,Jumla,+977-087-520123,29.2700,82.1800,Jumla,Jumla,Karnali
Jumla District Hospital,Jumla,+977-087-520456,29.2700,82.1800,Jumla,Jumla,Karnali
Dolpa District Hospital,Dunai,+977-087-590123,29.0000,82.8200,Dolpa,Dunai,Karnali
Mugu District Hospital,Gamgadhi,+977-087-690123,29.5300,82.0900,Mugu,Gamgadhi,Karnali
Kalikot District Hospital,Manma,+977-087-440123,29.1500,81.6200,Kalikot,Manma,Karnali
Jajarkot District Hospital,Khalanga,+977-089-430123,28.7000,82.1800,Jajarkot,Khalanga,Karnali
Dailekh District Hospital,Dailekh,+977-089-420123,28.8500,81.7100,Dailekh,Dailekh,Karnali
Bardiya District Hospital,Gulariya,+977-084-420123,28.2300,81.3400,Bardiya,Gulariya,Lumbini
Ghorahi Hospital,Dang,+977-082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Rapti Academy of Health Sciences,Ghorahi Dang,+977-082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Tulsipur Hospital,Dang,+977-082-560456,28.1300,82.3000,Dang,Tulsipur,Lumbini
Lamahi Hospital,Dang,+977-082-560789,27.8500,82.5500,Dang,Lamahi,Lumbini
Nepalgunj Medical College Teaching Hospital,Kohalpur Banke,+977-081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Bheri Hospital,Nepalgunj Banke,+977-081-520123,28.0500,81.6200,Banke,Nepalgunj,Lumbini
Universal College of Medical Sciences,Bhairahawa,+977-071-506016,27.5000,83.4500,Rupandehi,Bhairahawa,Lumbini
Lumbini Provincial Hospital,Butwal,+977-071-540200,27.7000,83.4500,Rupandehi,Butwal,Lumbini
Crimson Hospital,Manigram Rupandehi,+977-071-520111,27.6500,83.4700,Rupandehi,Manigram,Lumbini
Devdaha Medical College Hospital,Devdaha,+977-071-577777,27.6500,83.5600,Rupandehi,Devdaha,Lumbini
Tansen Mission Hospital,Palpa,+977-075-520123,27.8700,83.5500,Palpa,Tansen,Lumbini
Palpa District Hospital,Tansen,+977-075-520102,27.8700,83.5500,Palpa,Tansen,Lumbini
Gulmi District Hospital,Tamghas,+977-079-520123,28.0800,83.2500,Gulmi,Tamghas,Lumbini
Arghakhanchi District Hospital,Sandhikharka,+977-077-420123,27.9500,83.1200,Arghakhanchi,Sandhikharka,Lumbini
Kapilvastu District Hospital,Taulihawa,+977-076-560123,27.5500,83.0500,Kapilvastu,Taulihawa,Lumbini
Nawalpur District Hospital,Kawasoti,+977-078-540123,27.6500,84.1300,Nawalpur,Kawasoti,Gandaki
Beni Hospital,Myagdi,+977-069-520102,28.3500,83.5700,Myagdi,Beni,Gandaki
Baglung District Hospital,Baglung,+977-068-520102,28.2700,83.5900,Baglung,Baglung,Gandaki
Parbat District Hospital,Kushma,+977-067-420102,28.2200,83.6800,Parbat,Kushma,Gandaki
Syangja District Hospital,Syangja,+977-063-420102,28.0000,83.8700,Syangja,Syangja,Gandaki
Lamjung District Hospital,Besisahar,+977-066-520123,28.2300,84.0100,Lamjung,Besisahar,Gandaki
Gorkha District Hospital,Gorkha,+977-064-420123,28.0000,84.6330,Gorkha,Gorkha,Gandaki
Damauli Hospital,Tanahun,+977-065-560102,27.9730,84.2400,Tanahun,Damauli,Gandaki
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Kailali Hospital,Dhangadhi,+977-091-520123,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Nisarga Hospital,Dhangadhi Kailali,+977-091-523000,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Maya Metro Hospital,Dhangadhi Kailali,+977-091-590000,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Navjeevan Hospital,Dhangadhi,+977-091-520555,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Seti Zonal Eye Hospital,Dhangadhi,+977-091-520700,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Mahakali Hospital,Mahendranagar,+977-099-521123,28.9600,80.1800,Kanchanpur,Mahendranagar,Sudurpashchim
Dododhara Hospital,Kailali,+977-091-560000,28.5200,81.1200,Kailali,Tikapur,Sudurpashchim
Dadeldhura Eye Hospital,Dadeldhura,+977-096-420555,29.3000,80.5800,Dadeldhura,Dadeldhura,Sudurpashchim
Dadeldhura Sub-Regional Hospital,Dadeldhura,+977-096-420123,29.3000,80.5800,Dadeldhura,Dadeldhura,Sudurpashchim
Baitadi District Hospital,Baitadi,+977-095-520123,29.5200,80.4300,Baitadi,Baitadi,Sudurpashchim
Darchula District Hospital,Darchula,+977-093-520123,29.8500,80.5500,Darchula,Darchula,Sudurpashchim
Bajhang District Hospital,Bajhang,+977-092-420123,29.5500,81.1800,Bajhang,Bajhang,Sudurpashchim
Bajura District Hospital,Bajura,+977-097-420123,29.4200,81.4200,Bajura,Bajura,Sudurpashchim
Achham District Hospital,Achham,+977-097-620123,29.1300,81.2500,Achham,Achham,Sudurpashchim
Surkhet Eye Hospital,Birendranagar,+977-083-520555,28.6000,81.6300,Surkhet,Birendranagar,Karnali
Deuti Hospital,Surkhet,+977-083-521111,28.6000,81.6300,Surkhet,Birendranagar,Karnali
Karnali Provincial Hospital,Surkhet,+977-083-520123,28.6000,81.6300,Surkhet,Birendranagar,Karnali
Jumla Hospital,Jumla,+977-087-520123,29.2700,82.1800,Jumla,Jumla,Karnali
Karnali Academy Teaching Hospital,Jumla,+977-087-520123,29.2700,82.1800,Jumla,Jumla,Karnali
Dolpa District Hospital,Dolpa,+977-087-590123,29.0000,82.8200,Dolpa,Dunai,Karnali
Mugu District Hospital,Mugu,+977-087-690123,29.5300,82.0900,Mugu,Gamgadhi,Karnali
Kalikot District Hospital,Kalikot,+977-087-440123,29.1500,81.6200,Kalikot,Manma,Karnali
Jajarkot District Hospital,Jajarkot,+977-089-430123,28.7000,82.1800,Jajarkot,Khalanga,Karnali
Dailekh District Hospital,Dailekh,+977-089-420123,28.8500,81.7100,Dailekh,Dailekh,Karnali
Rolpa District Hospital,Liwang,+977-086-440123,28.3000,82.6400,Rolpa,Liwang,Lumbini
Pyuthan District Hospital,Pyuthan,+977-086-460123,28.0900,82.8700,Pyuthan,Pyuthan,Lumbini
Rukum East District Hospital,Rukumkot,+977-088-540123,28.6200,82.5000,Rukum East,Rukumkot,Lumbini
Salyan District Hospital,Salyan,+977-088-520123,28.3800,82.1700,Salyan,Salyan,Karnali
Dang District Hospital,Ghorahi,+977-082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Rapti Academy of Health Sciences,Dang,+977-082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Rाप्ती Provincial Hospital,Tulsipur,+977-082-560456,28.1300,82.3000,Dang,Tulsipur,Lumbini
Bheri Hospital,Nepalgunj,+977-081-520123,28.0500,81.6200,Banke,Nepalgunj,Lumbini
Nepalgunj Medical College Hospital,Kohalpur,+977-081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Bardiya District Hospital,Gulariya,+977-084-420123,28.2300,81.3400,Bardiya,Gulariya,Lumbini
Lumbini Provincial Hospital,Butwal,+977-071-540200,27.7000,83.4500,Rupandehi,Butwal,Lumbini
Universal College of Medical Sciences,Bhairahawa,+977-071-506016,27.5000,83.4500,Rupandehi,Bhairahawa,Lumbini
Crimson Hospital,Rupandehi,+977-071-520111,27.6500,83.4700,Rupandehi,Manigram,Lumbini
Tansen Mission Hospital,Palpa,+977-075-520123,27.8700,83.5500,Palpa,Tansen,Lumbini
Gulmi District Hospital,Gulmi,+977-079-520123,28.0800,83.2500,Gulmi,Tamghas,Lumbini
Arghakhanchi District Hospital,Arghakhanchi,+977-077-420123,27.9500,83.1200,Arghakhanchi,Sandhikharka,Lumbini
Kapilvastu District Hospital,Kapilvastu,+977-076-560123,27.5500,83.0500,Kapilvastu,Taulihawa,Lumbini
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Nepalgunj Medical College Teaching Hospital,Chisapani Banke,+977-081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Bheri Hospital Emergency,Nepalgunj Banke,+977-081-520123,28.0500,81.6200,Banke,Nepalgunj,Lumbini
Kohalpur Teaching Hospital,Kohalpur Banke,+977-081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Rapti Life Care Hospital,Tulsipur Dang,+977-082-560456,28.1300,82.3000,Dang,Tulsipur,Lumbini
Dang Valley Hospital,Ghorahi,+977-082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Lamahi Hospital,Lamahi Dang,+977-082-560789,27.8500,82.5500,Dang,Lamahi,Lumbini
Rाप्ती Eye Hospital,Tulsipur Dang,+977-082-560555,28.1300,82.3000,Dang,Tulsipur,Lumbini
Pyuthan District Hospital,Pyuthan,+977-086-460123,28.0900,82.8700,Pyuthan,Pyuthan,Lumbini
Rolpa District Hospital,Liwang,+977-086-440123,28.3000,82.6400,Rolpa,Liwang,Lumbini
Salyan District Hospital,Salyan,+977-088-520123,28.3800,82.1700,Salyan,Salyan,Karnali
Rukum District Hospital,Rukum,+977-088-540123,28.6200,82.5000,Rukum,Rukum,Lumbini
Mechi Eye Hospital,Birtamode Jhapa,+977-023-562111,26.6400,88.0000,Jhapa,Birtamode,Koshi
B&C Medical College Hospital,Birtamode Jhapa,+977-023-563333,26.6400,88.0000,Jhapa,Birtamode,Koshi
Mechi Provincial Hospital,Bhadrapur,+977-023-520123,26.5500,88.0900,Jhapa,Bhadrapur,Koshi
Damak Hospital,Damak,+977-023-580123,26.6600,87.6900,Jhapa,Damak,Koshi
Lifeline Hospital,Damak,+977-023-580555,26.6600,87.6900,Jhapa,Damak,Koshi
Birat Nursing Home,Biratnagar,+977-021-470000,26.4500,87.2700,Morang,Biratnagar,Koshi
Nobel Medical College Teaching Hospital,Biratnagar,+977-021-466735,26.4500,87.2800,Morang,Biratnagar,Koshi
Birat Medical College Teaching Hospital,Biratnagar,+977-021-470000,26.4500,87.2700,Morang,Biratnagar,Koshi
Golden Hospital,Biratnagar,+977-021-461234,26.4500,87.2700,Morang,Biratnagar,Koshi
Neuro Cardio Multispeciality Hospital,Biratnagar,+977-021-533333,26.4500,87.2700,Morang,Biratnagar,Koshi
Koshi Hospital,Biratnagar,+977-021-530103,26.4500,87.2700,Morang,Biratnagar,Koshi
B.P. Koirala Institute of Health Sciences,Dharan,+977-025-525555,26.8100,87.2800,Sunsari,Dharan,Koshi
Dharan Hospital,Dharan,+977-025-520123,26.8100,87.2800,Sunsari,Dharan,Koshi
Itahari Hospital,Itahari,+977-025-582000,26.6600,87.2700,Sunsari,Itahari,Koshi
Inaruwa Hospital,Inaruwa,+977-025-560123,26.6100,87.1400,Sunsari,Inaruwa,Koshi
Ilam District Hospital,Ilam,+977-027-520123,26.9100,87.9300,Ilam,Ilam,Koshi
Taplejung District Hospital,Taplejung,+977-024-460123,27.3500,87.6700,Taplejung,Phungling,Koshi
Panchthar District Hospital,Panchthar,+977-024-520123,27.1500,87.7500,Panchthar,Phidim,Koshi
Khotang District Hospital,Diktel,+977-036-420123,27.2100,86.7900,Khotang,Diktel,Koshi
Solukhumbu District Hospital,Salleri,+977-038-520123,27.7900,86.7200,Solukhumbu,Salleri,Koshi
Udayapur District Hospital,Gaighat,+977-035-420123,26.8000,86.7000,Udayapur,Gaighat,Koshi
Narayani Hospital,Birgunj,+977-051-521993,27.0100,84.8800,Parsa,Birgunj,Madhesh
National Medical College,Birgunj,+977-051-532260,27.0100,84.8800,Parsa,Birgunj,Madhesh
Birgunj Health Care Hospital,Birgunj,+977-051-522000,27.0100,84.8800,Parsa,Birgunj,Madhesh
Janakpur Provincial Hospital,Janakpur,+977-041-520123,26.7300,85.9200,Dhanusha,Janakpur,Madhesh
Mithila Hospital,Janakpur,+977-041-520456,26.7300,85.9200,Dhanusha,Janakpur,Madhesh
Gajendra Narayan Singh Hospital,Rajbiraj,+977-031-520123,26.5400,86.7500,Saptari,Rajbiraj,Madhesh
Siraha District Hospital,Siraha,+977-033-520123,26.6600,86.2000,Siraha,Siraha,Madhesh
Lahan Hospital,Lahan,+977-033-560123,26.7200,86.4800,Siraha,Lahan,Madhesh
Malangwa Hospital,Sarlahi,+977-046-520123,26.8600,85.5600,Sarlahi,Malangwa,Madhesh
Gaur Hospital,Rautahat,+977-055-520123,26.7700,85.2700,Rautahat,Gaur,Madhesh
Kalaiya Hospital,Bara,+977-053-520123,26.9900,84.8700,Bara,Kalaiya,Madhesh
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Bir Hospital,Kathmandu,+977-01-4221119,27.7050,85.3150,Kathmandu,Kathmandu,Bagmati
National Trauma Center,Kathmandu,+977-01-4230710,27.7050,85.3150,Kathmandu,Kathmandu,Bagmati
Civil Service Hospital,Minbhawan Kathmandu,+977-01-4793000,27.6900,85.3400,Kathmandu,Minbhawan,Bagmati
Shahid Gangalal National Heart Centre,Bansbari Kathmandu,+977-01-4371322,27.7500,85.3400,Kathmandu,Bansbari,Bagmati
Kanti Children's Hospital,Maharajgunj Kathmandu,+977-01-4411558,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Nepal Police Hospital,Maharajgunj Kathmandu,+977-01-4412430,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Nepal Army Hospital,Chhauni Kathmandu,+977-01-4271941,27.7000,85.2900,Kathmandu,Chhauni,Bagmati
Tribhuvan University Teaching Hospital,Maharajgunj Kathmandu,+977-01-4412303,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Patan Hospital,Lagankhel Lalitpur,+977-01-5522278,27.6700,85.3200,Lalitpur,Lagankhel,Bagmati
B&B Hospital,Gwarko Lalitpur,+977-01-5533206,27.6650,85.3300,Lalitpur,Gwarko,Bagmati
Alka Hospital,Jawalakhel Lalitpur,+977-01-5970999,27.6750,85.3150,Lalitpur,Jawalakhel,Bagmati
Nepal Mediciti Hospital,Bhaisepati Lalitpur,+977-01-4217766,27.6500,85.3000,Lalitpur,Bhaisepati,Bagmati
KIST Medical College Hospital,Imadol Lalitpur,+977-01-5201496,27.6500,85.3500,Lalitpur,Imadol,Bagmati
Grande International Hospital,Dhapasi Kathmandu,+977-01-5159266,27.7500,85.3300,Kathmandu,Dhapasi,Bagmati
HAMS Hospital,Dhumbarahi Kathmandu,+977-01-4377404,27.7350,85.3400,Kathmandu,Dhumbarahi,Bagmati
Om Hospital and Research Center,Chabahil Kathmandu,+977-01-4476225,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Norvic International Hospital,Thapathali Kathmandu,+977-01-5970032,27.6950,85.3150,Kathmandu,Thapathali,Bagmati
Blue Cross Hospital,Tripureshwor Kathmandu,+977-01-4262027,27.7000,85.3100,Kathmandu,Tripureshwor,Bagmati
Vayodha Hospital,Balkhu Kathmandu,+977-01-4281666,27.6850,85.3000,Kathmandu,Balkhu,Bagmati
