source,destination,district,province,transport_cost_usd,food_cost_day_usd,accommodation_night_usd,local_taxi_rick,data_quality_score
Sunsari,5-10,10-25,20-60,0.0,0.0,0.0,45-160,100.0
Koshi,5-15,10-25,20-60,0.0,0.0,0.0,45-165,100.0
Lumbini,5-15,10-25,20-60,0.0,0.0,0.0,50-165,100.0
Sunsari,5-15,10-25,20-60,0.0,0.0,0.0,45-165,100.0
Sudurpashchim,20-50,15-30,20-60,0.0,0.0,0.0,120-300,100.0
Dhanusha,40-80,15-30,20-60,0.0,0.0,0.0,65-180,100.0
Karnali,350-650,50-100,20-60,0.0,0.0,0.0,880-1860,100.0
Banke,100-200,25-50,20-70,0.0,0.0,0.0,100-300,100.0
Kailali,120-250,25-50,20-70,0.0,0.0,0.0,100-320,100.0
Rupandehi,80-150,25-50,20-70,0.0,0.0,0.0,100-300,100.0
Bagmati,5-15,10-25,20-80,0.0,0.0,0.0,60-200,100.0
Lumbini,10-30,10-30,20-80,0.0,0.0,0.0,65-200,100.0
Lumbini,20-50,20-40,20-80,0.0,0.0,0.0,200-500,100.0
Bagmati,50-120,20-40,20-80,0.0,0.0,0.0,250-500,100.0
Lumbini,80-150,20-40,20-80,0.0,0.0,0.0,250-500,100.0
Madhesh,30-50,1-2,200-500,0.0,0.0,0.0,45-150,100.0
Gandaki,30-50,2-4,2000-2200,0.0,0.0,0.0,55-170,100.0
Bagmati,25-40,3-5,2000-2200,0.0,0.0,0.0,70-200,100.0
Koshi,170-230,6-8,2000-2200,0.0,0.0,0.0,70-180,100.0
Bagmati,70-90,3-4,2000-2500,0.0,0.0,0.0,70-180,100.0
Gandaki,200-300,10-15,2000-3500,0.0,0.0,0.0,150-400,100.0
Sudurpashchim,180-250,8-12,2200-3200,0.0,0.0,0.0,100-250,100.0
Gandaki,220-300,10-18,2500-3200,0.0,0.0,0.0,150-400,100.0
Gandaki,60-90,6-10,2500-3200,0.0,0.0,0.0,90-250,100.0
Bagmati,90-130,5-8,2500-3500,0.0,0.0,0.0,90-230,100.0
Sudurpashchim,200-300,8-12,2500-3500,0.0,0.0,0.0,100-250,100.0
Gandaki,180-230,8-12,2600-3000,0.0,0.0,0.0,150-400,100.0
Koshi,130-160,5-8,2800-2900,0.0,0.0,0.0,100-300,100.0
Gandaki,160-220,8-12,2800-3000,0.0,0.0,0.0,90-250,100.0
Sudurpashchim,10-20,10-25,3-10,0.0,0.0,0.0,48-140,100.0
Kaski,50-120,25-50,30-100,0.0,0.0,0.0,100-300,100.0
Karnali,180-400,40-80,30-60,0.0,0.0,0.0,470-1110,100.0
Karnali,180-450,40-80,30-60,0.0,0.0,0.0,470-1210,100.0
Sudurpaschim,200-450,40-80,30-60,0.0,0.0,0.0,540-1310,100.0
Karnali,200-450,40-80,30-60,0.0,0.0,0.0,470-1110,100.0
Sudurpaschim,250-500,40-80,30-60,0.0,0.0,0.0,590-1360,100.0
Karnali,300-600,50-100,30-60,0.0,0.0,0.0,1300-2500,100.0
Karnali,350-700,50-100,30-60,0.0,0.0,0.0,790-1710,100.0
Sudurpaschim,200-500,40-80,30-70,0.0,0.0,0.0,540-1370,100.0
Sudurpaschim,250-550,40-80,30-70,0.0,0.0,0.0,590-1420,100.0
Koshi,150-400,50-100,30-70,0.0,0.0,0.0,650-1650,100.0
Koshi,180-450,50-100,30-70,0.0,0.0,0.0,680-1550,100.0
Koshi,220-450,50-100,30-70,0.0,0.0,0.0,720-1550,100.0
Gandaki,250-550,50-100,30-70,0.0,0.0,0.0,800-1900,100.0
Koshi,250-600,50-100,30-70,0.0,0.0,0.0,850-2050,100.0
Gandaki,250-600,50-100,30-70,0.0,0.0,0.0,1150-2250,100.0
Karnali,400-750,60-120,30-70,0.0,0.0,0.0,1050-2200,100.0
Karnali,450-800,60-120,30-70,0.0,0.0,0.0,1250-2450,100.0
120-220,30-60,10-30,30-80,0.0,0.0,0.0,,100.0
200-400,30-60,20-40,30-80,0.0,0.0,0.0,,100.0
Karnali,500-700,15-25,3000-3200,0.0,0.0,0.0,200-500,100.0
Gandaki,170-220,8-12,3000-3500,0.0,0.0,0.0,100-250,100.0
Karnali,600-800,18-30,3000-3700,0.0,0.0,0.0,250-650,100.0
Bagmati,140-170,5-8,3000-3800,0.0,0.0,0.0,90-230,100.0
Koshi,400-550,18-25,3000-4000,0.0,0.0,0.0,250-600,100.0
Sudurpashchim,250-350,10-15,3000-4500,0.0,0.0,0.0,150-400,100.0
Sudurpashchim,400-550,15-25,3000-4500,0.0,0.0,0.0,200-500,100.0
Bagmati,180-250,8-14,3000-5000,0.0,0.0,0.0,200-500,100.0
Koshi,350-500,15-25,3200-4200,0.0,0.0,0.0,250-600,100.0
Koshi,300-450,12-20,3500-4200,0.0,0.0,0.0,200-500,100.0
Gandaki,250-350,12-18,3500-4500,0.0,0.0,0.0,250-600,100.0
Sudurpashchim,350-500,15-25,3500-4500,0.0,0.0,0.0,250-600,100.0
Karnali,700-900,20-30,3500-4500,0.0,0.0,0.0,250-600,100.0
Karnali,800-1000,25-35,3500-4500,0.0,0.0,0.0,350-800,100.0
Gandaki,40-70,5-9,3500-4500,0.0,0.0,0.0,90-230,100.0
Bagmati,120-160,7-10,3500-4500,0.0,0.0,0.0,90-230,100.0
Koshi,250-350,10-15,3500-5000,0.0,0.0,0.0,150-400,100.0
Karnali,300-450,12-20,3500-5000,0.0,0.0,0.0,200-500,100.0
Gandaki,100-150,7-10,3600-4000,0.0,0.0,0.0,90-230,100.0
Koshi,300-400,12-18,3700-3800,0.0,0.0,0.0,150-400,100.0
Bagmati,150-200,7-10,3800-4000,0.0,0.0,0.0,150-400,100.0
Gandaki,60-100,6-10,3800-4200,0.0,0.0,0.0,100-250,100.0
120-250,30-60,10-40,40-100,0.0,0.0,0.0,,100.0
Koshi,250-550,50-100,40-80,0.0,0.0,0.0,860-1830,100.0
Karnali,250-550,50-100,40-80,0.0,0.0,0.0,760-1610,100.0
Sudurpaschim,250-600,50-100,40-80,0.0,0.0,0.0,760-1860,100.0
Karnali,250-600,50-100,40-80,0.0,0.0,0.0,760-1860,100.0
Gandaki,300-600,50-100,40-80,0.0,0.0,0.0,910-2060,100.0
Sudurpaschim,300-600,50-100,40-80,0.0,0.0,0.0,810-1860,100.0
Gandaki,300-650,60-120,40-80,0.0,0.0,0.0,1020-2230,100.0
Gandaki,300-700,60-120,40-80,0.0,0.0,0.0,1320-2700,100.0
Karnali,400-900,60-120,40-80,0.0,0.0,0.0,1220-2780,100.0
Karnali,450-900,60-120,40-80,0.0,0.0,0.0,1170-2460,100.0
Karnali,500-1000,60-120,40-80,0.0,0.0,0.0,1420-2880,100.0
Karnali,500-900,60-120,40-80,0.0,0.0,0.0,1310-2660,100.0
Gandaki,300-400,12-20,4000-4500,0.0,0.0,0.0,250-600,100.0
Bagmati,450-600,20-30,4000-4700,0.0,0.0,0.0,300-700,100.0
Bagmati,180-230,8-12,4500-5000,0.0,0.0,0.0,150-400,100.0
Gandaki,220-280,10-15,4800-5000,0.0,0.0,0.0,200-500,100.0
Karnali,10-20,10-25,5-10,0.0,0.0,0.0,70-175,100.0
Sudurpashchim,15-30,10-25,5-10,0.0,0.0,0.0,55-150,100.0
Sudurpashchim,15-35,10-25,5-10,0.0,0.0,0.0,55-145,100.0
Sudurpashchim,20-40,10-25,5-10,0.0,0.0,0.0,60-160,100.0
Lumbini,20-40,15-30,5-10,0.0,0.0,0.0,75-210,100.0
Madhesh,10-40,15-35,5-10,0.0,0.0,0.0,70-225,100.0
Sudurpaschim,10-30,20-40,5-10,0.0,0.0,0.0,85-240,100.0
Gandaki,10-40,20-40,5-10,0.0,0.0,0.0,75-230,100.0
Koshi,10-40,20-40,5-10,0.0,0.0,0.0,85-250,100.0
Lumbini,15-35,15-30,5-15,0.0,0.0,0.0,80-230,100.0
Karnali,25-60,15-35,5-15,0.0,0.0,0.0,105-270,100.0
Lumbini,10-40,20-40,5-15,0.0,0.0,0.0,105-315,100.0
Bagmati,10-40,20-40,5-15,0.0,0.0,0.0,115-355,100.0
Sudurpaschim,10-40,20-40,5-15,0.0,0.0,0.0,85-255,100.0
Gandaki/Bagmati,10-50,20-40,5-15,0.0,0.0,0.0,75-265,100.0
Bagmati,20-50,20-40,5-15,0.0,0.0,0.0,70-200,100.0
Sudurpaschim,20-50,20-40,5-15,0.0,0.0,0.0,95-265,100.0
Sudurpaschim,20-60,20-40,5-15,0.0,0.0,0.0,95-285,100.0
Gandaki,20-70,20-40,5-15,0.0,0.0,0.0,95-295,100.0
Madhesh,20-80,20-40,5-15,0.0,0.0,0.0,115-355,100.0
Sudurpaschim,30-70,20-40,5-15,0.0,0.0,0.0,105-285,100.0
Madhesh,30-80,20-40,5-15,0.0,0.0,0.0,105-305,100.0
Sudurpaschim,30-80,20-40,5-15,0.0,0.0,0.0,125-325,100.0
Madhesh,30-90,20-40,5-15,0.0,0.0,0.0,105-315,100.0
Lumbini,50-110,20-40,5-15,0.0,0.0,0.0,120-335,100.0
Bagmati,30-80,25-45,5-15,0.0,0.0,0.0,75-220,100.0
Gandaki,20-50,25-50,5-15,0.0,0.0,0.0,85-230,100.0
Karnali,10-25,10-25,5-20,0.0,0.0,0.0,50-150,100.0
Lumbini,30-80,20-40,5-20,0.0,0.0,0.0,95-300,100.0
Sudurpashchim,50-100,20-40,5-20,0.0,0.0,0.0,120-300,100.0
Sudurpashchim,50-110,20-40,5-20,0.0,0.0,0.0,125-330,100.0
Karnali,60-140,20-40,5-20,0.0,0.0,0.0,150-400,100.0
Sudurpashchim,70-140,20-40,5-20,0.0,0.0,0.0,160-400,100.0
Karnali,70-140,20-40,5-20,0.0,0.0,0.0,170-410,100.0
Sudurpashchim,80-150,20-40,5-20,0.0,0.0,0.0,150-350,100.0
Sudurpashchim,110-220,25-50,5-20,0.0,0.0,0.0,205-490,100.0
Sudurpashchim,90-180,25-50,5-20,0.0,0.0,0.0,185-450,100.0
Madhesh,50-80,2-3,50-100,0.0,0.0,0.0,45-145,100.0
Karnali,300-700,50-100,50-100,0.0,0.0,0.0,820-1980,100.0
Sudurpaschim,300-700,60-120,50-100,0.0,0.0,0.0,1130-2320,100.0
Koshi,350-750,60-120,50-100,0.0,0.0,0.0,1280-2570,100.0
Karnali,600-1200,70-150,50-100,0.0,0.0,0.0,1740-3630,100.0
120-250,35-70,20-40,50-120,0.0,0.0,0.0,,100.0
Madhesh,40-60,1-2,50-150,0.0,0.0,0.0,45-145,100.0
120-300,40-80,20-50,50-150,0.0,0.0,0.0,,100.0
200-450,40-80,30-60,50-150,0.0,0.0,0.0,,100.0
Gandaki,15-25,1,650-700,0.0,0.0,0.0,45-155,100.0
Gandaki,70-100,3-5,800-1200,0.0,0.0,0.0,55-170,100.0
Gandaki,30-60,2-4,800-1500,0.0,0.0,0.0,50-160,100.0
Lumbini,100-140,3-5,900-1200,0.0,0.0,0.0,50-170,100.0
Lumbini,70-100,3-4,900-1300,0.0,0.0,0.0,45-160,100.0
Province,Transport Cost (Usd),Food Cost/Day (Usd),Local Travel (Usd),0.0,0.0,0.0,Total Estimated Budget (USD),100.0
