place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category
Vijayapur Hill,26.82,87.27,Sunsari,1.0,2.0,0.0,3.0,4.0,15.0,10.0,3.0,25.0,25.0,25.0,LOW
Koshi Tappu Wildlife Reserve,26.67,87.0,Sunsari,3.0,0.0,0.0,15.0,2.0,10.0,8.0,2.0,45.0,50.0,48.0,MEDIUM
Baraha Kshetra,26.85,87.15,Sunsari,1.0,1.0,0.0,8.0,2.0,15.0,12.0,3.0,30.0,35.0,32.0,LOW
Namaste Falls,27.02,87.33,Dhankuta,3.0,6.0,0.0,6.0,4.0,5.0,4.0,1.0,55.0,50.0,52.0,MEDIUM
Arun River Valley,27.35,87.25,Sankhuwasabha,5.0,12.0,4.0,10.0,7.0,0.0,1.0,0.0,95.0,90.0,93.0,HIGH
Makalu Barun Area,27.7,87.1,Sankhuwasabha,9.0,18.0,14.0,2.0,10.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Num Village,27.55,87.25,Sankhuwasabha,3.0,8.0,3.0,5.0,6.0,1.0,1.0,0.0,85.0,75.0,79.0,HIGH
Hatuwagadhi,27.0,87.15,Bhojpur,2.0,5.0,0.0,3.0,4.0,5.0,4.0,1.0,50.0,40.0,44.0,MEDIUM
Taksar Bazaar,27.17,87.05,Bhojpur,1.0,3.0,0.0,3.0,3.0,8.0,6.0,2.0,35.0,30.0,32.0,MEDIUM
Silichong Rural Trail,27.45,87.1,Sankhuwasabha,7.0,15.0,10.0,2.0,9.0,0.0,0.0,0.0,100.0,98.0,99.0,HIGH
Milmke Danda,27.2,87.3,Bhojpur,4.0,10.0,4.0,2.0,6.0,1.0,1.0,0.0,90.0,75.0,81.0,HIGH
Temke Danda,27.3,86.95,Bhojpur,4.0,9.0,3.0,2.0,6.0,1.0,1.0,0.0,90.0,70.0,78.0,HIGH
Salpa Pokhari,27.4,86.9,Bhojpur,6.0,13.0,7.0,2.0,8.0,0.0,0.0,0.0,100.0,90.0,96.0,HIGH
Halesi Trail Route,27.32,86.72,Khotang,2.0,5.0,0.0,2.0,5.0,8.0,6.0,2.0,40.0,40.0,40.0,MEDIUM
Aiselukharka Village,27.25,86.8,Khotang,3.0,7.0,1.0,3.0,5.0,3.0,3.0,1.0,65.0,60.0,62.0,MEDIUM
Diktel View Tower,27.21,86.79,Khotang,1.0,4.0,0.0,2.0,4.0,5.0,5.0,1.0,45.0,35.0,39.0,MEDIUM
Panchase Hill,28.23,83.83,Kaski,3.0,8.0,2.0,2.0,5.0,2.0,2.0,0.0,75.0,65.0,69.0,HIGH
Lamachaur Area,28.25,83.97,Kaski,1.0,2.0,0.0,3.0,3.0,15.0,10.0,3.0,20.0,20.0,20.0,LOW
Matepani Gumba,28.23,84.0,Kaski,1.0,2.0,0.0,2.0,3.0,20.0,15.0,5.0,15.0,15.0,15.0,LOW
Koshi Tappu Wildlife Area,26.85,87.15,Sunsari,2.0,0.0,0.0,15.0,2.0,40.0,30.0,10.0,20.0,45.0,45.0,MEDIUM
Barahachhetra Temple,26.85,87.2,Sunsari,1.0,1.0,0.0,12.0,3.0,50.0,40.0,15.0,10.0,35.0,38.0,MEDIUM
Dharan Bhedetar Hill,26.81,87.3,Sunsari,2.0,4.0,0.0,6.0,4.0,60.0,50.0,20.0,10.0,25.0,30.0,LOW
Bhedetar View Tower,26.81,87.3,Sunsari,1.0,3.0,0.0,5.0,3.0,60.0,50.0,20.0,5.0,20.0,25.0,LOW
Namaste Falls Area,26.76,87.25,Sunsari,3.0,5.0,0.0,8.0,4.0,30.0,25.0,10.0,25.0,40.0,45.0,MEDIUM
Dhankuta Bazaar,26.98,87.35,Dhankuta,2.0,4.0,0.0,5.0,4.0,40.0,30.0,10.0,15.0,30.0,35.0,LOW
Hile Village,26.93,87.34,Dhankuta,2.0,5.0,0.0,4.0,5.0,30.0,25.0,10.0,20.0,35.0,40.0,MEDIUM
Pakhribas Garden,26.99,87.28,Dhankuta,1.0,3.0,0.0,4.0,4.0,40.0,30.0,10.0,15.0,25.0,30.0,LOW
Arun Valley Trail,27.05,87.4,Sankhuwasabha,8.0,12.0,4.0,3.0,7.0,5.0,5.0,2.0,70.0,75.0,78.0,HIGH
Makalu Base Camp,27.7,87.1,Sankhuwasabha,18.0,20.0,18.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Num Village,27.55,87.15,Sankhuwasabha,8.0,12.0,5.0,3.0,7.0,5.0,5.0,2.0,70.0,75.0,75.0,HIGH
Tumlingtar Area,27.3,87.2,Sankhuwasabha,3.0,4.0,0.0,8.0,5.0,30.0,25.0,10.0,25.0,45.0,48.0,MEDIUM
Khandbari Hills,27.38,87.2,Sankhuwasabha,2.0,4.0,0.0,5.0,5.0,40.0,30.0,10.0,15.0,30.0,35.0,LOW
Manebhanjyang Village,27.5,86.9,Khotang,4.0,8.0,0.0,5.0,6.0,20.0,20.0,5.0,45.0,55.0,60.0,MEDIUM
Halesi Mahadev Cave,27.38,86.67,Khotang,2.0,3.0,0.0,4.0,5.0,50.0,40.0,10.0,10.0,25.0,30.0,LOW
Diktel Rural Area,27.21,86.79,Khotang,3.0,6.0,0.0,5.0,6.0,25.0,20.0,5.0,35.0,50.0,55.0,MEDIUM
Bhojpur Silichung Trail,27.15,87.05,Bhojpur,12.0,16.0,8.0,3.0,8.0,0.0,0.0,0.0,100.0,90.0,90.0,HIGH
Bhojpur Bazaar,27.17,87.05,Bhojpur,2.0,5.0,0.0,5.0,5.0,35.0,30.0,10.0,20.0,35.0,40.0,MEDIUM
Salpa Pokhari,27.25,87.1,Bhojpur,10.0,14.0,6.0,2.0,8.0,0.0,0.0,0.0,100.0,85.0,85.0,HIGH
Milke Danda,27.4,87.6,Taplejung,15.0,18.0,12.0,2.0,10.0,0.0,0.0,0.0,100.0,95.0,94.0,HIGH
Pathibhara Temple Route,27.35,87.7,Taplejung,12.0,15.0,8.0,3.0,8.0,0.0,0.0,0.0,100.0,85.0,88.0,HIGH
Phungling Bazaar,27.35,87.67,Taplejung,3.0,5.0,0.0,5.0,6.0,30.0,25.0,10.0,30.0,45.0,50.0,MEDIUM
Olangchung Gola,27.87,87.8,Taplejung,18.0,20.0,15.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Kanchenjunga Base Camp,27.7,88.0,Taplejung,20.0,20.0,18.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,99.0,HIGH
Ilam Tea Garden,26.92,87.93,Ilam,1.0,2.0,0.0,5.0,3.0,70.0,60.0,20.0,5.0,20.0,25.0,LOW
Sandakpur View Point,27.0,87.9,Ilam,4.0,8.0,0.0,3.0,5.0,10.0,10.0,3.0,50.0,55.0,60.0,MEDIUM
Kanyam Tea Estate,26.87,87.92,Ilam,1.0,1.0,0.0,4.0,3.0,60.0,50.0,20.0,5.0,15.0,22.0,LOW
Mai Pokhari,26.95,87.85,Ilam,2.0,3.0,0.0,8.0,4.0,40.0,30.0,10.0,20.0,35.0,40.0,MEDIUM
Fikkal Village,26.89,87.94,Ilam,1.0,2.0,0.0,4.0,3.0,60.0,50.0,20.0,5.0,15.0,22.0,LOW
Panchthar Phidim,27.15,87.75,Panchthar,2.0,5.0,0.0,5.0,5.0,35.0,25.0,10.0,20.0,35.0,40.0,MEDIUM
Tinjure Milke Jaljale,27.3,87.5,Tehrathum,15.0,18.0,10.0,2.0,9.0,0.0,0.0,0.0,100.0,95.0,92.0,HIGH
Gupha Pokhari,27.2,87.55,Tehrathum,8.0,12.0,5.0,3.0,7.0,5.0,5.0,2.0,70.0,75.0,78.0,HIGH
Basanta Ritu Trail,27.25,87.45,Tehrathum,6.0,10.0,3.0,3.0,6.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Chainpur Area,27.3,87.25,Sankhuwasabha,3.0,6.0,0.0,5.0,6.0,20.0,20.0,5.0,40.0,55.0,60.0,MEDIUM
Dharan Namaste Trail,26.81,87.29,Sunsari,2.0,3.0,0.0,5.0,3.0,60.0,50.0,20.0,5.0,20.0,25.0,LOW
Itahari Wetland Area,26.66,87.28,Sunsari,1.0,1.0,0.0,12.0,3.0,70.0,60.0,20.0,5.0,30.0,32.0,LOW
Koshi River Camp,26.7,87.1,Sunsari,4.0,1.0,0.0,18.0,3.0,25.0,20.0,5.0,30.0,55.0,58.0,MEDIUM
Birtamod Tea Route,26.65,87.98,Jhapa,1.0,0.0,0.0,15.0,2.0,60.0,50.0,20.0,5.0,30.0,32.0,LOW
Kachankawal Area,26.47,88.05,Jhapa,1.0,0.0,0.0,15.0,2.0,50.0,40.0,15.0,10.0,35.0,35.0,LOW
Damak Forest Area,26.67,87.7,Jhapa,2.0,1.0,0.0,12.0,3.0,60.0,50.0,20.0,10.0,35.0,38.0,MEDIUM
Mechi River Side,26.55,88.1,Jhapa,3.0,1.0,0.0,20.0,3.0,30.0,25.0,10.0,25.0,55.0,55.0,MEDIUM
Ilam Mai Valley,26.9,87.85,Ilam,2.0,3.0,0.0,6.0,4.0,40.0,30.0,10.0,15.0,30.0,35.0,LOW
Solu Junbesi Village,27.58,86.6,Solukhumbu,8.0,12.0,5.0,2.0,7.0,5.0,5.0,2.0,70.0,75.0,78.0,HIGH
Pike Peak Trail,27.6,86.55,Solukhumbu,14.0,18.0,10.0,1.0,9.0,0.0,0.0,0.0,100.0,90.0,92.0,HIGH
Chiwang Monastery,27.7,86.72,Solukhumbu,3.0,5.0,0.0,2.0,5.0,20.0,15.0,5.0,35.0,45.0,50.0,MEDIUM
Phaplu Airport Area,27.52,86.59,Solukhumbu,2.0,4.0,0.0,3.0,5.0,40.0,30.0,10.0,20.0,35.0,40.0,MEDIUM
Kharikhola Village,27.65,86.68,Solukhumbu,6.0,10.0,4.0,2.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Bupsa Village Trail,27.7,86.72,Solukhumbu,7.0,12.0,5.0,2.0,8.0,0.0,0.0,0.0,90.0,80.0,85.0,HIGH
Thame Village,27.95,86.72,Solukhumbu,10.0,15.0,8.0,1.0,9.0,0.0,0.0,0.0,100.0,90.0,90.0,HIGH
Namche Rural Area,27.81,86.71,Solukhumbu,8.0,12.0,6.0,1.0,8.0,0.0,0.0,0.0,100.0,85.0,88.0,HIGH
Khumjung Village,27.83,86.73,Solukhumbu,8.0,13.0,7.0,1.0,8.0,0.0,0.0,0.0,100.0,90.0,90.0,HIGH
Gokyo Lake Route,27.95,86.69,Solukhumbu,15.0,18.0,12.0,0.0,10.0,0.0,0.0,0.0,100.0,100.0,97.0,HIGH
Renjo La Pass,28.0,86.65,Solukhumbu,18.0,20.0,18.0,0.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Mera Peak Base Camp,27.7,86.87,Solukhumbu,18.0,20.0,15.0,0.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Makalu Arun Camp,27.7,87.1,Sankhuwasabha,16.0,20.0,15.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Lukla Village,27.687,86.731,Solukhumbu,5.0,8.0,3.0,1.0,6.0,20.0,15.0,5.0,55.0,60.0,65.0,MEDIUM
Surke Village,27.62,86.72,Solukhumbu,6.0,10.0,3.0,2.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Paiya Village,27.62,86.65,Solukhumbu,5.0,8.0,3.0,2.0,6.0,5.0,5.0,2.0,60.0,65.0,68.0,MEDIUM
Chaurikharka,27.72,86.72,Solukhumbu,6.0,10.0,4.0,2.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Kangtega View,27.9,86.85,Solukhumbu,12.0,16.0,10.0,1.0,9.0,0.0,0.0,0.0,100.0,90.0,92.0,HIGH
Rolwaling Valley,27.85,86.35,Dolakha,15.0,18.0,12.0,1.0,10.0,0.0,0.0,0.0,100.0,95.0,95.0,HIGH
Bigus Village,27.8,86.25,Dolakha,6.0,10.0,4.0,3.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Charikot View Point,27.67,86.05,Dolakha,2.0,4.0,0.0,3.0,5.0,50.0,40.0,10.0,15.0,30.0,35.0,LOW
Kalinchowk Temple,27.72,86.05,Dolakha,10.0,15.0,7.0,2.0,8.0,0.0,0.0,0.0,100.0,85.0,88.0,HIGH
Jiri Village,27.63,86.23,Dolakha,4.0,7.0,0.0,4.0,6.0,25.0,20.0,5.0,35.0,50.0,55.0,MEDIUM
Shailung Hill,27.55,86.25,Dolakha,8.0,12.0,5.0,2.0,7.0,5.0,5.0,2.0,70.0,75.0,78.0,HIGH
Tsho Rolpa Lake,27.9,86.47,Dolakha,18.0,20.0,15.0,3.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Bhairav Kunda,27.95,86.1,Sindhupalchok,12.0,15.0,8.0,3.0,9.0,0.0,0.0,0.0,100.0,85.0,90.0,HIGH
Panch Pokhari,28.0,85.65,Sindhupalchok,15.0,18.0,10.0,2.0,10.0,0.0,0.0,0.0,100.0,95.0,95.0,HIGH
Jugal Himal Trail,28.05,85.85,Sindhupalchok,16.0,20.0,15.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Tarkeghyang Village,28.05,85.58,Sindhupalchok,6.0,10.0,5.0,2.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Nagarkot Rural Edge,27.73,85.52,Bhaktapur,1.0,2.0,0.0,3.0,3.0,80.0,60.0,20.0,5.0,15.0,20.0,LOW
Changu Narayan Rural Trail,27.72,85.43,Bhaktapur,1.0,2.0,0.0,3.0,4.0,70.0,50.0,20.0,5.0,20.0,25.0,LOW
Suryabinayak Forest,27.67,85.43,Bhaktapur,2.0,3.0,0.0,4.0,4.0,60.0,50.0,20.0,10.0,25.0,30.0,LOW
Lakuri Bhanjyang,27.63,85.43,Lalitpur,2.0,4.0,0.0,3.0,4.0,50.0,40.0,10.0,15.0,25.0,30.0,LOW
Phulchowki Hill,27.58,85.38,Lalitpur,4.0,8.0,0.0,3.0,5.0,30.0,25.0,10.0,35.0,45.0,50.0,MEDIUM
Godavari Botanical Area,27.59,85.39,Lalitpur,1.0,1.0,0.0,4.0,3.0,70.0,60.0,20.0,5.0,15.0,22.0,LOW
Kirtipur Heritage Hill,27.68,85.28,Kathmandu,1.0,1.0,0.0,2.0,4.0,90.0,80.0,30.0,0.0,10.0,15.0,LOW
Dakshinkali Temple Area,27.61,85.26,Kathmandu,2.0,3.0,0.0,4.0,4.0,60.0,50.0,20.0,10.0,25.0,30.0,LOW
Champadevi Trail,27.62,85.26,Kathmandu,3.0,5.0,0.0,3.0,5.0,40.0,30.0,10.0,20.0,35.0,40.0,MEDIUM
Shivapuri Ridge Trail,27.82,85.39,Kathmandu,3.0,6.0,0.0,3.0,5.0,50.0,40.0,10.0,20.0,35.0,40.0,MEDIUM
Sundarijal Waterfall,27.79,85.4,Kathmandu,2.0,3.0,0.0,10.0,4.0,50.0,40.0,15.0,15.0,40.0,42.0,MEDIUM
Machhapuchhre View Point,28.35,84.02,Kaski,2.0,4.0,1.0,2.0,4.0,8.0,6.0,2.0,45.0,40.0,42.0,MEDIUM
Pumdikot Shiva Statue,28.16,83.9,Kaski,1.0,2.0,0.0,2.0,3.0,20.0,15.0,5.0,15.0,15.0,15.0,LOW
Naudanda View Point,28.26,83.88,Kaski,1.0,3.0,0.0,2.0,3.0,12.0,8.0,2.0,30.0,25.0,27.0,LOW
Dhampus Village,28.31,83.83,Kaski,2.0,5.0,1.0,2.0,4.0,6.0,5.0,1.0,50.0,45.0,47.0,MEDIUM
Australian Camp,28.32,83.82,Kaski,3.0,6.0,2.0,2.0,5.0,4.0,3.0,1.0,65.0,55.0,60.0,MEDIUM
Kande Hiking Route,28.28,83.82,Kaski,2.0,5.0,0.0,2.0,4.0,5.0,4.0,1.0,50.0,40.0,44.0,MEDIUM
Ghandruk Village,28.37,83.81,Kaski,3.0,7.0,2.0,3.0,5.0,4.0,4.0,1.0,65.0,60.0,62.0,MEDIUM
Landruk Village,28.38,83.82,Kaski,3.0,8.0,2.0,3.0,6.0,3.0,3.0,1.0,70.0,65.0,68.0,HIGH
Tadapani Village,28.43,83.75,Kaski,4.0,9.0,4.0,2.0,6.0,1.0,1.0,0.0,90.0,75.0,81.0,HIGH
Ghorepani Village,28.4,83.69,Myagdi,3.0,8.0,3.0,2.0,5.0,2.0,2.0,0.0,80.0,70.0,75.0,HIGH
Kali Gandaki Gorge,28.7,83.6,Mustang,6.0,10.0,5.0,5.0,7.0,0.0,1.0,0.0,90.0,85.0,89.0,HIGH
Marpha Village,28.75,83.69,Mustang,1.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,55.0,40.0,46.0,MEDIUM
Tukuche Village,28.72,83.68,Mustang,2.0,5.0,2.0,2.0,5.0,3.0,3.0,0.0,65.0,55.0,60.0,MEDIUM
Dhumba Lake,28.79,83.72,Mustang,2.0,5.0,1.0,2.0,4.0,3.0,3.0,0.0,65.0,50.0,56.0,MEDIUM
Lo Manthang,29.19,83.96,Mustang,3.0,8.0,5.0,1.0,7.0,0.0,1.0,0.0,95.0,80.0,87.0,HIGH
Namgyal Monastery Mustang,29.19,83.95,Mustang,1.0,4.0,2.0,1.0,5.0,0.0,0.0,0.0,100.0,60.0,76.0,HIGH
Damodar Kunda,29.05,84.0,Mustang,7.0,15.0,12.0,1.0,9.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Tilicho Lake,28.69,83.85,Manang,9.0,17.0,15.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Manang Village,28.67,84.02,Manang,5.0,12.0,8.0,1.0,8.0,0.0,1.0,0.0,95.0,90.0,93.0,HIGH
Gangapurna Lake,28.66,84.0,Manang,7.0,15.0,12.0,1.0,9.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Thorong La Pass,28.78,84.4,Manang,10.0,18.0,17.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Ice Lake Manang,28.65,84.05,Manang,8.0,16.0,14.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Nar Phu Valley,28.8,84.15,Manang,7.0,15.0,10.0,2.0,9.0,0.0,0.0,0.0,100.0,98.0,99.0,HIGH
Koto Village,28.76,84.15,Manang,4.0,10.0,5.0,2.0,7.0,0.0,1.0,0.0,90.0,80.0,84.0,HIGH
Pisang Village,28.67,84.1,Manang,3.0,8.0,4.0,2.0,6.0,1.0,1.0,0.0,85.0,70.0,76.0,HIGH
Chame Bazaar,28.55,84.25,Manang,2.0,6.0,2.0,3.0,5.0,3.0,3.0,1.0,60.0,55.0,57.0,MEDIUM
Besisahar Gateway,28.23,84.37,Lamjung,1.0,3.0,0.0,5.0,4.0,10.0,8.0,2.0,35.0,35.0,35.0,MEDIUM
Ghale Gaun,28.28,84.4,Lamjung,2.0,5.0,1.0,3.0,5.0,5.0,4.0,1.0,55.0,45.0,49.0,MEDIUM
Bhujung Village,28.26,84.42,Lamjung,3.0,7.0,2.0,3.0,5.0,3.0,3.0,1.0,65.0,60.0,62.0,MEDIUM
Kapuche Lake,28.35,84.15,Kaski,5.0,10.0,5.0,2.0,7.0,0.0,1.0,0.0,95.0,85.0,89.0,HIGH
Sikles Trek Route,28.37,84.13,Kaski,4.0,9.0,4.0,2.0,6.0,1.0,1.0,0.0,90.0,80.0,84.0,HIGH
Tansen Durbar Square,27.87,83.54,Palpa,1.0,1.0,0.0,2.0,5.0,20.0,15.0,5.0,15.0,15.0,15.0,LOW
Rani Mahal,27.85,83.54,Palpa,2.0,4.0,0.0,5.0,4.0,5.0,5.0,1.0,50.0,45.0,47.0,MEDIUM
Kali Gandaki Riverside,27.95,83.55,Palpa,3.0,3.0,0.0,10.0,3.0,6.0,5.0,1.0,55.0,55.0,55.0,MEDIUM
Bhairabsthan Temple,27.85,83.52,Palpa,1.0,3.0,0.0,2.0,4.0,8.0,6.0,2.0,35.0,30.0,32.0,MEDIUM
Boudikali Temple,27.6,84.0,Nawalpur,1.0,1.0,0.0,8.0,2.0,12.0,10.0,3.0,30.0,30.0,30.0,LOW
Devchuli Hill,27.7,84.25,Nawalpur,3.0,7.0,0.0,4.0,5.0,4.0,4.0,1.0,65.0,55.0,60.0,MEDIUM
Triveni Dham,27.45,83.9,Nawalpur,1.0,0.0,0.0,10.0,2.0,15.0,12.0,3.0,30.0,35.0,32.0,LOW
Gaindakot Area,27.72,84.43,Nawalpur,1.0,0.0,0.0,8.0,2.0,20.0,15.0,5.0,20.0,25.0,22.0,LOW
Sankhu Village Trail,27.74,85.45,Kathmandu,1.0,2.0,0.0,3.0,3.0,70.0,60.0,20.0,5.0,15.0,22.0,LOW
Bagdwar Shivapuri,27.82,85.39,Kathmandu,2.0,4.0,0.0,3.0,4.0,50.0,40.0,10.0,15.0,25.0,30.0,LOW
Tokha Hiking Route,27.8,85.36,Kathmandu,1.0,2.0,0.0,3.0,3.0,80.0,70.0,25.0,5.0,15.0,20.0,LOW
Jamacho Gumba Trail,27.79,85.28,Kathmandu,3.0,5.0,0.0,2.0,4.0,50.0,40.0,10.0,20.0,30.0,35.0,LOW
Nagarjun Forest Area,27.74,85.27,Kathmandu,2.0,4.0,0.0,3.0,4.0,60.0,50.0,15.0,10.0,25.0,30.0,LOW
White Gumba Area,27.72,85.27,Kathmandu,1.0,2.0,0.0,3.0,3.0,70.0,60.0,20.0,5.0,15.0,22.0,LOW
Kakani View Point,27.82,85.25,Nuwakot,2.0,4.0,0.0,4.0,4.0,50.0,40.0,10.0,15.0,30.0,35.0,LOW
Kakani Strawberry Area,27.82,85.25,Nuwakot,1.0,2.0,0.0,4.0,3.0,60.0,50.0,15.0,10.0,20.0,25.0,LOW
Gosaikunda Lake,28.08,85.41,Rasuwa,18.0,20.0,15.0,1.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Lauribina Pass,28.1,85.41,Rasuwa,16.0,20.0,18.0,0.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Dhukure Village,28.05,85.25,Rasuwa,5.0,8.0,3.0,3.0,6.0,15.0,10.0,3.0,60.0,65.0,68.0,MEDIUM
Syabrubesi,28.16,85.36,Rasuwa,5.0,8.0,4.0,3.0,7.0,20.0,15.0,5.0,55.0,65.0,70.0,HIGH
Thulo Syabru,28.13,85.37,Rasuwa,8.0,12.0,5.0,2.0,8.0,5.0,5.0,2.0,70.0,75.0,78.0,HIGH
Langtang River Camp,28.23,85.52,Rasuwa,12.0,16.0,10.0,2.0,9.0,0.0,0.0,0.0,100.0,90.0,92.0,HIGH
Kyanjin Ri View,28.22,85.57,Rasuwa,15.0,18.0,12.0,0.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Chisapani Nagarkot Route,27.85,85.45,Nuwakot,4.0,7.0,0.0,3.0,5.0,20.0,15.0,5.0,40.0,50.0,55.0,MEDIUM
Helambu Village Trail,28.0,85.6,Sindhupalchok,8.0,12.0,6.0,2.0,8.0,5.0,5.0,2.0,75.0,80.0,82.0,HIGH
Melamchi Gaun,28.15,85.6,Sindhupalchok,4.0,7.0,0.0,10.0,6.0,20.0,15.0,5.0,40.0,65.0,65.0,MEDIUM
Panch Pokhari Camp,28.0,85.65,Sindhupalchok,15.0,18.0,10.0,2.0,10.0,0.0,0.0,0.0,100.0,95.0,95.0,HIGH
Bhotang Village,28.1,85.7,Sindhupalchok,8.0,12.0,5.0,3.0,7.0,5.0,5.0,2.0,70.0,75.0,78.0,HIGH
Tatopani Sindhupalchok,27.95,85.95,Sindhupalchok,3.0,6.0,0.0,15.0,6.0,30.0,25.0,10.0,35.0,60.0,60.0,MEDIUM
Barhabise Town,27.79,85.88,Sindhupalchok,3.0,5.0,0.0,12.0,6.0,40.0,30.0,10.0,30.0,55.0,58.0,MEDIUM
Lamosangu Lake,27.78,85.9,Sindhupalchok,2.0,3.0,0.0,12.0,5.0,40.0,30.0,10.0,25.0,45.0,48.0,MEDIUM
Dolakha Bhimeshwar Temple,27.67,86.02,Dolakha,1.0,2.0,0.0,3.0,5.0,60.0,50.0,20.0,5.0,20.0,25.0,LOW
Kalinchowk Snow Trail,27.72,86.05,Dolakha,12.0,16.0,10.0,1.0,9.0,0.0,0.0,0.0,100.0,90.0,92.0,HIGH
Jiri Everest Gateway,27.63,86.23,Dolakha,5.0,8.0,3.0,3.0,6.0,20.0,15.0,5.0,55.0,65.0,68.0,MEDIUM
Khawa Danda,27.62,86.15,Dolakha,6.0,10.0,4.0,2.0,7.0,10.0,5.0,2.0,65.0,70.0,72.0,HIGH
Bigu Monastery,27.85,86.18,Dolakha,6.0,10.0,4.0,2.0,7.0,5.0,5.0,2.0,65.0,70.0,72.0,HIGH
Lamabagar Village,27.9,86.2,Dolakha,10.0,15.0,8.0,2.0,8.0,0.0,0.0,0.0,100.0,85.0,88.0,HIGH
Chhorolpa Glacier Lake,27.9,86.47,Dolakha,18.0,20.0,15.0,3.0,10.0,0.0,0.0,0.0,100.0,100.0,98.0,HIGH
Ramechhap Manthali,27.35,86.08,Ramechhap,2.0,4.0,0.0,5.0,5.0,50.0,40.0,15.0,15.0,30.0,35.0,LOW
Thulo Sailung,27.55,86.3,Ramechhap,10.0,15.0,6.0,2.0,8.0,0.0,0.0,0.0,100.0,85.0,88.0,HIGH
Lamjura Pass,27.65,86.35,Ramechhap,15.0,18.0,12.0,1.0,9.0,0.0,0.0,0.0,100.0,95.0,95.0,HIGH
Okhaldhunga Halesi Route,27.3,86.5,Okhaldhunga,5.0,8.0,0.0,5.0,6.0,20.0,20.0,5.0,40.0,55.0,60.0,MEDIUM
Pikey Peak,27.65,86.62,Okhaldhunga,12.0,16.0,8.0,2.0,9.0,0.0,0.0,0.0,100.0,90.0,92.0,HIGH
Khotang Halesi Trail,27.38,86.67,Khotang,2.0,4.0,0.0,5.0,5.0,50.0,40.0,10.0,15.0,30.0,35.0,LOW
Aiselukharka Village,27.4,86.75,Khotang,5.0,8.0,0.0,4.0,6.0,20.0,15.0,5.0,40.0,50.0,55.0,MEDIUM
Trishuli River Rafting,27.93,84.9,Nuwakot,4.0,2.0,0.0,12.0,3.0,8.0,6.0,2.0,45.0,55.0,50.0,MEDIUM
Nuwakot Durbar Square,27.91,85.16,Nuwakot,1.0,2.0,0.0,3.0,5.0,10.0,8.0,2.0,30.0,30.0,30.0,LOW
Kakani View Tower,27.82,85.25,Nuwakot,2.0,5.0,0.0,3.0,4.0,6.0,5.0,1.0,50.0,40.0,44.0,MEDIUM
Bidur Bazaar,27.9,85.15,Nuwakot,1.0,3.0,0.0,5.0,4.0,12.0,10.0,3.0,25.0,35.0,30.0,LOW
Dupcheshwor Temple,27.95,85.25,Nuwakot,2.0,5.0,0.0,3.0,5.0,5.0,5.0,1.0,50.0,45.0,47.0,MEDIUM
Gosainkunda Helambu Route,28.05,85.45,Sindhupalchok,7.0,15.0,12.0,2.0,9.0,0.0,0.0,0.0,100.0,100.0,100.0,HIGH
Thadepati Pass,28.02,85.48,Sindhupalchok,6.0,14.0,10.0,1.0,8.0,0.0,0.0,0.0,100.0,95.0,98.0,HIGH
Melamchi Trek Route,28.12,85.55,Sindhupalchok,4.0,10.0,4.0,5.0,7.0,0.0,1.0,0.0,90.0,80.0,84.0,HIGH
Panch Pokhari Lake,28.0,85.62,Sindhupalchok,7.0,15.0,9.0,2.0,9.0,0.0,0.0,0.0,100.0,98.0,99.0,HIGH
Bhairav Kunda,27.98,85.75,Sindhupalchok,6.0,13.0,7.0,3.0,8.0,0.0,0.0,0.0,100.0,90.0,96.0,HIGH
