name,amenity,tourism,office,emergency,phone,email,website,opening_hours,operator,brand,addr:street,addr:city,addr:postcode,latitude,longitude
new purbanchal hotel and guest house,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.708108,85.3399997
Radhe Krishna Boys Hostel,Not Available,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7100441,85.3376149
Children's Diagnosis Center,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7169467,85.3461805
Helping Hands Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.717272,85.3463666
NDEP Development Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7169422,85.3463077
Samaj Dental Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7173385,85.3463259
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7173559,85.3463253
Medi Noor Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7183162,85.3465601
Space Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7181637,85.3467502
Sundaram Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7182896,85.3465601
माछापुच्छ्रे बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7179418,85.3464957
Charu Medical Store,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7168578,85.3455466
Kanchan Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7168291,85.3453957
Siphal Pharmacy,pharmacy,Not Available,Not Available,Not Available,"+977 01 4464830,   +977 9841611328",Not Available,Not Available,Not Available,Not Available,Not Available,Siphal,Kathmandu,Not Available,27.7121296,85.3405998
Logo Girls Hostel,Not Available,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7082711,85.3377956
Mahalaxmi Finance,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7087995,85.3383908
Metropolitan Police Post,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7121975,85.3388588
Aagrim Mahila Co-operative,bank,Not Available,cooperative,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7143334,85.3452792
Not Available,hospital,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7174587,85.3475795
Razam Medical Center,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7180973,85.3471848
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7181359,85.3471848
फार्मेसी,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6777442,85.3385394
Thamel Base Camp,Not Available,hotel,Not Available,Not Available,9841440291,Not Available,www.nepaltravelsandtrekking.com,Not Available,Not Available,Not Available,Kirja Galli,Kathmandu,44600,27.7148498,85.3117621
hostel,Not Available,hostel,Not Available,Not Available,+9779841787132,famoushouse99@gmail.com,http://www.famoushousektm.com,24/7,Not Available,Not Available,Sukubahal Galli,Not Available,25515,27.7217794,85.3140337
Nepal international clinic,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Mo-Fr 09:00-12:00,Not Available,Not Available,Not Available,Not Available,Not Available,27.7130201,85.3202114
Blue Mountain,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7209185,85.3120925
Kilaghal Bachat Rin Sahakari Sansthan,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7072711,85.3088981
Nabali Saving And Credit Cooperative,bank,Not Available,cooperative,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7109649,85.3428726
Venus Medical,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7109063,85.3432788
OYO 105 Hotel Travel Inn,Not Available,hotel,Not Available,Not Available,01-4217474,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kathmandu,Not Available,27.7066066,85.3443883
Vivanta Zahnklinik,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7092353,85.3301507
District Lawyers Office,Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6903133,85.3268385
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7271119,85.3688096
Mustang Holiday Inn,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7132499,85.3135095
Prime Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7190462,85.308845
Taj Mahal,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7099724,85.3163486
पूर्वाधार विकास बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7083559,85.317432
वेस्टर्न युनियन,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7085988,85.3171173
ग्लोबल आइ.एम.ई. बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7130864,85.3151195
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NBL,Not Available,Not Available,Not Available,27.7109088,85.3148294
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7115332,85.3152295
ग्लोबल आइ.एम.ई. बैंकको एटीएम,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,IME,Not Available,Not Available,Not Available,27.713144,85.3151264
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7141959,85.3132262
Not Available,immigration border,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6998835,85.3570789
Not Available,immigration border,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6998303,85.3570547
Not Available,immigration border,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6997134,85.3570014
Not Available,immigration border,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6997698,85.3570271
Hotel Mirchi,Not Available,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7094241,85.3164452
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,EBL ATM,Not Available,Not Available,Not Available,Not Available,27.7105112,85.3175851
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Laxmi Bank,Not Available,Not Available,Not Available,Not Available,27.7104613,85.317575
Not Available,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6934303,85.3111229
Office of the Company Registrar (OCR),Not Available,Not Available,government,Not Available,"+977-01- 4259948, 4263089, 4267256, 4215077, 4261821",Not Available,Not Available,10:00-17:00,Not Available,Not Available,Samarpan Marg,Not Available,Not Available,27.6957583,85.3132517
NMB Bank ATM,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NMB Bank,Not Available,Not Available,Not Available,Not Available,27.6927134,85.3261242
NMB Bank ATM,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NMB Bank,Not Available,Not Available,Not Available,Not Available,27.6919937,85.3257782
Sai Shankar medical store,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7116487,85.341605
Depesh Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7111668,85.3425486
Bliss,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7110529,85.3129961
Kantipur Temple House,Not Available,hotel,Not Available,Not Available,9851060663,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7113584,85.3129704
Mums Home,Not Available,hotel,Not Available,Not Available,014228373,info@hotelmumshome.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.711171,85.3130212
Bank of Kathmandu,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.710083,85.320088
Global IME Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7100549,85.3202994
Goodwill Finance,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7104671,85.3217475
लक्ष्मी सनराइज बैंक (हात्तीसार),bank,Not Available,Not Available,Not Available,+977 01 5970684;+977 01 4544684;+977 01 4544685,info@laxmisunrise.com,https://www.laxmisunrise.com,Su-Th 10:00-18:00; Fr 10:00-16:00; Sa 10:00-14:00,Not Available,Not Available,हात्तीसार सडक (Hattisar Road),Not Available,Not Available,27.7115132,85.3220443
नबिल बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.nabilbank.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7100651,85.3201731
Siddhartha Bank Limited,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Siddartha Bank,Not Available,Not Available,Not Available,Not Available,27.7108132,85.3219195
Lotus Girls Hostel,Not Available,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7006235,85.3286254
Rastriya Banijya Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7178774,85.3307945
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kathmandu,Not Available,27.7123779,85.3287481
Asmita Bed and Breakfast,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7174964,85.3119443
Secret Garden Guesthouse,Not Available,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7152203,85.306707
Kathmandu Peace,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7166893,85.3113578
Hotel Mountain,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,http://www.hotelmountain.com.np/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7088778,85.3151627
एन.एम.बी. बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7101072,85.314912
प्रभु बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7113369,85.315326
Yellow Pagoda,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7104313,85.3151693
Ashoka,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7094993,85.3134915
Koohinoor Inn,Not Available,hotel,Not Available,Not Available,Not Available,h-kohinoor@hotmail.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7101832,85.3138659
Backpackers,Not Available,hotel,Not Available,Not Available,977-1-4225319,hotelbackpacker@gmail.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7121545,85.3120383
Buddha Land,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7119604,85.3129168
Golden Gate,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7128102,85.3121076
Kathmandu Home,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7117467,85.313335
Namaste,Not Available,hotel,Not Available,Not Available,+977 01 4222253,info@hotelnamastenepal.com,www.hotelnamastenepal.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7115704,85.3128566
Namaste,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7126634,85.3120799
Not Available,Not Available,hotel,Not Available,Not Available,4152083,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7117591,85.3129066
Peak Point,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,www.peakpointhotel.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7118684,85.3129273
राष्ट्रिय बाणिज्य बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7142583,85.3133717
Hotel Pacific,Not Available,hotel,Not Available,Not Available,4255153,Not Available,https://www.hotelpacific.com.np/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7100028,85.3146285
Kailash Parbat,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.710185,85.3140911
Nepa,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7102337,85.3133489
ROKPA Guest House,Not Available,guest_house,Not Available,Not Available,+9771-4479705,info@rokpaguesthouse.org,http://rokpaguesthouse.org,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7236395,85.3613549
Shechen Guesthouse,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7250126,85.360569
Lotus Guest house,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Dhabzang gompa,Not Available,Not Available,Not Available,Not Available,27.7226062,85.3651748
Pema,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7223463,85.3651298
Buddha Garden,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,http://www.buddhagarden.com.np/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7116346,85.3120125
Jiu Ding Yuan,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.712351,85.312061
Well Adventure,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,https://daalihotel.com/,24/7,Not Available,Not Available,Amrit Marg,Not Available,44600,27.7132278,85.3121726
Nirvana Garden Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,http://www.nirvanagarden.com/new/,Not Available,Mr. Chhunta Tuladhar,Not Available,J.P. Road,Kathmandu,Not Available,27.7124418,85.3093394
प्रहरी चौकी,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6785543,85.3412105
प्रहरी चौकी,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6760937,85.3379616
"Heavy equipment division, department of road",Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6884069,85.3400136
Nepal Investment bank ATM,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7207584,85.3653671
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7204414,85.3629075
Mentseekhang Tibetan Medicine,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7202533,85.3639093
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7206762,85.3605008
PRK,Not Available,guest_house,Not Available,Not Available,4914911  4915955,prkguesthouse@yahoo.com,Not Available,Not Available,Not Available,Not Available,Phulbari street,Not Available,Not Available,27.722509,85.3632997
Happiness,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7228937,85.3623152
Dragon Guesthouse,Not Available,guest_house,Not Available,Not Available,+977 15178162,dragonguesth@gmail.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7252906,85.3610347
Kathmandu Beijing Hotel,Not Available,hotel,Not Available,Not Available,01-4201368,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7103307,85.3132707
Nepal Youth Hostel,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7112397,85.3120563
Chandrakesh Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7124722,85.3286325
Namrata Medical Hall,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7104644,85.3280299
Shree Di Sei Pharma,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7127821,85.3286684
Jagat,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7113236,85.3122873
Kailash,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7103008,85.3140648
Lucien,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7119318,85.3122451
Shan Dong,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7126345,85.3122289
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Sunrise Bank,Not Available,Not Available,Not Available,27.7125299,85.3122227
Agricultural Development Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7131981,85.3125978
Fuji Hotel,Not Available,hotel,Not Available,Not Available,+977 4250 435,Not Available,https://www.fujihotel.com.np/,Not Available,Not Available,Not Available,Jyatha Street,Not Available,Not Available,27.7126185,85.3128365
Hotel Holy Himalaya,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7127604,85.312853
Sacred Valley Inn,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,https://sacredvalleyinn.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7126737,85.3126273
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Mega Money,Not Available,Not Available,Not Available,27.7132487,85.3123684
Aashirvad Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7105873,85.3110775
Himal Lodge,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7102359,85.3110336
Himshrinkhala Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7104705,85.3119589
Deuti Pharmacy,pharmacy,Not Available,Not Available,no,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6830459,85.335113
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7096736,85.3170637
Cyber,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7226726,85.3628298
Stupa,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7227092,85.3630324
Kailash,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7237575,85.3637447
Shelkar Tibetan Medical Clinic,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7225264,85.3629576
Nabil Bank,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7207078,85.3618944
Swayambhu View,Not Available,guest_house,Not Available,Not Available,+9779803000844,swayambhu.view.gh@gmail.com,https://www.facebook.com/SwayambhuViewGuestHouse/,24/7,Not Available,Not Available,Devithan Galli,Not Available,44620,27.7116665,85.2879722
नेपाल न्यासनल अस्पताल,hospital,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Nepal National Hospital,Not Available,Not Available,Not Available,Not Available,27.6947253,85.2821685
3 rooms by Pauline,Not Available,hotel,Not Available,Not Available,Not Available,contact@3roomsbypauline.com,https://3roomsbypauline.com/,Not Available,The Paulines,Not Available,Tanka Prasad Ghumti Sadak,Kathmandu,44600,27.6946019,85.3226253
Gaju Suite Hotel Pvt. Ltd.,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhagwati Marg,Kathmandu,Not Available,27.7165841,85.3118801
Elite Pathology Clinic & dental House,clinic,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24/7,Not Available,Not Available,Not Available,Not Available,Not Available,27.7009054,85.3398692
Himal Sahakari Santha,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Mo-Fr 08:30-20:00,Not Available,Not Available,Not Available,Not Available,Not Available,27.7005142,85.339731
Himalayan Cooperative,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24/7,Not Available,Not Available,Not Available,Not Available,Not Available,27.7007333,85.3396063
Not Available,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Everest Bank ATM,Not Available,Not Available,Not Available,Not Available,27.6980383,85.3379864
Shree Ram Pharmacy,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7337217,85.3291485
Machhapuchchhre Bank,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Machhapuchchhre Bank,Not Available,Not Available,Not Available,Not Available,27.6920725,85.3182525
Department of Hydrology and Meteorology,Not Available,Not Available,government,Not Available,Not Available,Not Available,Not Available,10:00-16:00,Not Available,Not Available,Bhagwati marg,kathmandu,Not Available,27.7130125,85.3246802
Baudha Stupa View,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7219121,85.3616605
Baudha Chorten,Not Available,hotel,Not Available,Not Available,4916440,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7213554,85.3630968
Padma,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7213553,85.3613112
Happiness,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7217463,85.3625029
Khasyor,Not Available,guest_house,Not Available,Not Available,4491482,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7213792,85.3629828
Kunzom,Not Available,guest_house,Not Available,Not Available,4916241,Not Available,www.khumbuhotel.com.np,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7212037,85.3625919
Yoga,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7216368,85.3614074
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7207303,85.3626254
Mandala,Not Available,hotel,Not Available,Not Available,4474597,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7214477,85.3630454
Comfort,Not Available,guest_house,Not Available,Not Available,4461275,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7213882,85.362881
Not Available,pharmacy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.722657,85.3628692
Tibet Peace Inn,Not Available,hotel,Not Available,Not Available,+977 1 4380653,Not Available,https://www.tibetpeaceinn.com/,Not Available,Not Available,Not Available,Pakjanol,Kathmandu,44600,27.716965,85.308838
SBimochan,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kathmandu,Not Available,27.6884485,85.3450754
